panel_lineage,showcase_gene_name,showcase_gene_id,plotted_lineage,day,mean_cpm,sem_cpm,log10_cpm_plus_1,log10_sem_approx
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,1,13.209,12.445,1.1525635142565396,0.2731988791274711
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,2,0.0,0.0,0.0,0.0
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,5,5.833,5.833,0.8346114207226871,0.2680280629686129
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,6,73.916,44.117,1.8745745809789143,0.20109279832201254
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,7,395.175,296.278,2.597887066597256,0.2425032345567648
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,1,2.276,1.461,0.5153438930883808,0.16015949163957588
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,2,104.941,23.656,2.0250640680184215,0.0875308802867889
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,5,103.038,37.199,2.0171919948376327,0.13275648934879047
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,6,3.858,2.249,0.6864575104691117,0.1652288049733157
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,7,12.626,6.592,1.1343683846033787,0.1713698076049388
ectoderm,ZMIZ1,ENSG00000108175,endoderm,1,0.772,0.772,0.24846371755103194,0.15705338942534433
ectoderm,ZMIZ1,ENSG00000108175,endoderm,2,14.772,4.781,1.1978867684011856,0.11498845383786027
ectoderm,ZMIZ1,ENSG00000108175,endoderm,5,6.44,3.849,0.8715729355458788,0.181082537493648
ectoderm,ZMIZ1,ENSG00000108175,endoderm,6,2.704,0.882,0.5686709780098967,0.09276307238402337
ectoderm,ZMIZ1,ENSG00000108175,endoderm,7,6.95,4.572,0.9003671286564703,0.19730657079262737
ectoderm,PAX6,ENSG00000007372,ectoderm,1,0.0,0.0,0.0,0.0
ectoderm,PAX6,ENSG00000007372,ectoderm,2,0.0,0.0,0.0,0.0
ectoderm,PAX6,ENSG00000007372,ectoderm,5,208.943,72.892,2.3221013988022308,0.12943175231390125
