condition,dataset,fpr,tpr
IFNg,original,0.0,0.0
IFNg,original,0.0,0.03125
IFNg,original,0.0,0.75
IFNg,original,0.00013118194936376755,0.75
IFNg,original,0.00013118194936376755,0.78125
IFNg,original,0.0004591368227731864,0.78125
IFNg,original,0.0004591368227731864,0.8125
IFNg,original,0.014298832480650663,0.8125
IFNg,original,0.014298832480650663,0.84375
IFNg,original,0.06532861078315624,0.84375
IFNg,original,0.06532861078315624,0.875
IFNg,original,0.18824609733700642,0.875
IFNg,original,0.18824609733700642,0.90625
IFNg,original,0.2828938738029647,0.90625
IFNg,original,0.2828938738029647,0.9375
IFNg,original,0.46674537583628495,0.9375
IFNg,original,0.46674537583628495,0.96875
IFNg,original,0.4986225895316804,0.96875
IFNg,original,0.4986225895316804,1.0
IFNg,original,0.9990817263544536,1.0
IFNg,original,1.0,1.0
IFNg,downsampled,0.0,0.0
IFNg,downsampled,0.0,0.03125
IFNg,downsampled,0.0,0.8125
IFNg,downsampled,0.05405405405405406,0.8125
IFNg,downsampled,0.05405405405405406,0.84375
IFNg,downsampled,0.10810810810810811,0.84375
IFNg,downsampled,0.10810810810810811,0.875
IFNg,downsampled,0.24324324324324326,0.875
IFNg,downsampled,0.24324324324324326,0.90625
IFNg,downsampled,0.35135135135135137,0.90625
IFNg,downsampled,0.35135135135135137,0.9375
IFNg,downsampled,0.5135135135135135,0.9375
IFNg,downsampled,0.5135135135135135,1.0
IFNg,downsampled,1.0,1.0
