,25L007996,25L007997,25L007998,25L008008,25L008009,25L008010
ENSMUSG00000000149,0,14,0,0,0,0
ENSMUSG00000000374,0,0,0,0,0,8
ENSMUSG00000000378,0,0,4,0,0,0
ENSMUSG00000000560,0,1,0,0,0,0
ENSMUSG00000000740,0,0,0,0,0,5
ENSMUSG00000000976,0,0,0,0,0,20
ENSMUSG00000001017,0,0,3,0,0,0
ENSMUSG00000001158,9,0,0,0,0,0
ENSMUSG00000001248,0,0,57,0,8,0
ENSMUSG00000001419,0,0,30,0,0,0
ENSMUSG00000001472,0,5,0,0,0,0
ENSMUSG00000001729,0,0,28,0,0,0
ENSMUSG00000001794,3,0,0,0,0,0
ENSMUSG00000001802,0,0,0,3,0,0
ENSMUSG00000001911,0,144,0,0,0,0
ENSMUSG00000002297,0,0,0,0,0,5
ENSMUSG00000002379,0,0,0,0,0,72
ENSMUSG00000002768,0,7,0,0,0,0
ENSMUSG00000002799,0,0,0,0,0,6
ENSMUSG00000002968,0,0,0,1,0,0
ENSMUSG00000003072,0,0,0,0,3,0
ENSMUSG00000003352,0,0,0,0,0,9
ENSMUSG00000003363,0,0,0,0,0,1
ENSMUSG00000003380,0,0,0,0,0,157
ENSMUSG00000003410,0,0,15,0,0,0
ENSMUSG00000003429,0,0,0,0,0,7
ENSMUSG00000003863,0,0,0,8,0,0
ENSMUSG00000003868,0,84,34,0,0,0
ENSMUSG00000003970,8,7,0,0,0,0
ENSMUSG00000004031,0,0,0,0,0,221
ENSMUSG00000004100,0,0,0,0,0,1
ENSMUSG00000004568,0,0,0,0,0,1
ENSMUSG00000004980,9,0,0,0,0,0
ENSMUSG00000005034,0,0,0,0,0,12
ENSMUSG00000005161,0,0,14,0,0,0
ENSMUSG00000005299,16,0,0,0,0,0
ENSMUSG00000005354,0,50,0,0,0,0
ENSMUSG00000005417,0,0,0,0,0,11
ENSMUSG00000005442,0,470,96,0,0,0
ENSMUSG00000005483,0,0,0,0,0,5
ENSMUSG00000005583,0,4,0,0,0,0
ENSMUSG00000005656,1,0,0,0,0,0
ENSMUSG00000005813,0,7,0,0,0,0
ENSMUSG00000005871,1,0,0,4,0,0
ENSMUSG00000005982,0,0,15,0,0,0
ENSMUSG00000006058,0,0,0,0,0,29
ENSMUSG00000006215,0,3,0,0,0,0
ENSMUSG00000006273,0,0,0,0,1,0
ENSMUSG00000006476,0,0,0,0,0,56
ENSMUSG00000006517,0,0,0,0,1,0
ENSMUSG00000006586,0,0,0,0,0,1
ENSMUSG00000007739,0,2,0,0,0,0
ENSMUSG00000007815,0,3,9,0,0,0
ENSMUSG00000007892,0,38,0,0,0,4
ENSMUSG00000007944,0,0,30,0,0,0
ENSMUSG00000007950,0,0,152,0,0,0
ENSMUSG00000008035,0,0,0,0,3,0
ENSMUSG00000008140,0,0,0,0,0,1
ENSMUSG00000008348,1,0,0,0,0,0
ENSMUSG00000008450,1,0,0,0,0,0
ENSMUSG00000008658,3,0,0,0,0,0
ENSMUSG00000008668,0,0,0,0,0,4
ENSMUSG00000008682,0,0,0,0,0,4
ENSMUSG00000009406,7,0,0,0,0,0
ENSMUSG00000009739,0,26,0,0,0,0
ENSMUSG00000009927,0,0,14,0,0,0
ENSMUSG00000010453,3,0,0,0,0,0
ENSMUSG00000012405,0,4,5,0,0,1
ENSMUSG00000012848,0,3,0,0,0,0
ENSMUSG00000013419,0,0,17,0,0,0
ENSMUSG00000013698,0,37,0,0,0,0
ENSMUSG00000014498,0,0,8,0,0,0
ENSMUSG00000014602,69,0,0,0,0,0
ENSMUSG00000015087,0,0,0,0,0,23
ENSMUSG00000015112,1,0,0,0,0,0
ENSMUSG00000015709,0,0,0,0,0,45
ENSMUSG00000016349,1,0,0,0,0,0
ENSMUSG00000016427,0,0,0,0,0,1
ENSMUSG00000016559,0,0,26,0,0,0
ENSMUSG00000016933,0,0,10,0,0,0
ENSMUSG00000016946,0,0,0,0,0,72
ENSMUSG00000017404,0,2,0,0,0,0
ENSMUSG00000018076,0,4,0,0,0,0
ENSMUSG00000018189,0,7,0,0,0,0
ENSMUSG00000018286,0,0,21,0,0,0
ENSMUSG00000018293,3,0,0,0,0,0
ENSMUSG00000018411,0,0,147,0,0,7
ENSMUSG00000018415,0,0,0,0,0,2
ENSMUSG00000018476,0,0,0,0,0,1
ENSMUSG00000018559,0,1,1,0,0,0
ENSMUSG00000018567,0,1,0,0,0,0
ENSMUSG00000018585,0,2,0,0,0,0
ENSMUSG00000018858,0,2,0,0,0,0
ENSMUSG00000018965,0,0,4,0,0,0
ENSMUSG00000019362,0,0,0,1,0,0
ENSMUSG00000019432,1,0,0,0,0,0
ENSMUSG00000019505,2,0,0,0,0,0
ENSMUSG00000019876,0,0,0,0,0,4
ENSMUSG00000019917,0,0,1,0,0,0
ENSMUSG00000020056,0,0,1,0,0,0
ENSMUSG00000020088,0,0,6,0,0,0
ENSMUSG00000020089,0,0,0,0,1,0
ENSMUSG00000020091,0,0,10,0,0,0
ENSMUSG00000020135,35,6,7,0,3,240
ENSMUSG00000020163,8,0,0,0,0,1
ENSMUSG00000020255,0,0,0,0,0,4
ENSMUSG00000020261,0,0,0,3,0,0
ENSMUSG00000020366,0,0,0,0,1,1
ENSMUSG00000020372,0,1,0,0,0,0
ENSMUSG00000020431,0,0,37,0,0,10
ENSMUSG00000020477,0,0,1,0,0,0
ENSMUSG00000020610,0,11,0,0,0,0
ENSMUSG00000020684,0,0,0,0,0,204
ENSMUSG00000020708,0,0,36,0,0,0
ENSMUSG00000020737,0,14,0,0,0,0
ENSMUSG00000020848,0,3,0,0,0,0
ENSMUSG00000020849,0,0,4,0,0,0
ENSMUSG00000020857,0,0,10,0,0,0
ENSMUSG00000020876,6,0,0,0,0,0
ENSMUSG00000020882,3,0,0,0,0,0
ENSMUSG00000020894,0,0,5,0,0,0
ENSMUSG00000020982,0,0,0,0,1,0
ENSMUSG00000021024,7,0,0,0,0,0
ENSMUSG00000021079,0,0,12,0,0,0
ENSMUSG00000021143,0,50,0,0,0,0
ENSMUSG00000021262,0,0,0,0,3,0
ENSMUSG00000021417,0,0,0,0,0,9
ENSMUSG00000021488,0,0,0,0,0,7
ENSMUSG00000021536,0,60,0,0,0,0
ENSMUSG00000021546,0,4,0,0,0,0
ENSMUSG00000021557,0,0,0,4,0,0
ENSMUSG00000021576,0,0,0,1,0,0
ENSMUSG00000021595,0,0,35,0,0,0
ENSMUSG00000021816,0,2,0,0,0,0
ENSMUSG00000021832,0,0,0,2,0,0
ENSMUSG00000021891,0,0,0,0,0,6
ENSMUSG00000021901,1,0,0,0,0,0
ENSMUSG00000021936,0,0,0,0,0,2
ENSMUSG00000022054,0,7,0,0,0,0
ENSMUSG00000022131,0,0,0,3,0,0
ENSMUSG00000022139,1,0,0,0,0,0
ENSMUSG00000022185,0,5,0,0,0,0
ENSMUSG00000022191,1,0,0,0,0,0
ENSMUSG00000022199,0,0,0,0,0,6
ENSMUSG00000022208,0,0,51,0,0,93
ENSMUSG00000022214,0,0,0,0,0,4
ENSMUSG00000022216,0,4,0,0,0,0
ENSMUSG00000022285,0,2,0,0,0,0
ENSMUSG00000022426,0,0,0,8,0,0
ENSMUSG00000022456,0,0,44,0,0,0
ENSMUSG00000022475,0,0,0,18,0,0
ENSMUSG00000022477,0,0,14,0,0,17
ENSMUSG00000022484,0,0,0,0,1,0
ENSMUSG00000022577,0,31,0,0,0,0
ENSMUSG00000022623,3,0,0,0,0,0
ENSMUSG00000022671,0,0,1,0,0,0
ENSMUSG00000022772,3,0,0,0,0,0
ENSMUSG00000022788,0,0,0,0,0,3
ENSMUSG00000022799,0,0,0,0,0,1
ENSMUSG00000022892,0,0,0,8,0,0
ENSMUSG00000022982,0,0,5,0,0,0
ENSMUSG00000023004,0,2,4,0,0,0
ENSMUSG00000023944,0,2,0,0,0,13
ENSMUSG00000023965,0,0,0,0,1,0
ENSMUSG00000023966,0,0,0,0,0,1
ENSMUSG00000023967,0,0,0,0,1,0
ENSMUSG00000024012,0,0,160,0,0,0
ENSMUSG00000024018,1,0,0,0,0,0
ENSMUSG00000024050,0,0,0,0,0,5
ENSMUSG00000024181,0,1,0,0,0,0
ENSMUSG00000024190,4,0,2,0,0,0
ENSMUSG00000024213,0,0,0,0,2,0
ENSMUSG00000024220,0,0,0,0,1,0
ENSMUSG00000024238,0,0,0,0,0,7
ENSMUSG00000024268,17,0,0,0,0,0
ENSMUSG00000024359,0,0,0,0,1,0
ENSMUSG00000024387,0,6,0,0,0,0
ENSMUSG00000024392,1,0,0,0,0,0
ENSMUSG00000024548,0,0,0,0,0,12
ENSMUSG00000024603,3,0,0,0,0,0
ENSMUSG00000024608,0,0,12,6,0,3
ENSMUSG00000024617,4,15,0,0,0,0
ENSMUSG00000024661,12,0,6,0,0,0
ENSMUSG00000024743,0,13,0,0,0,28
ENSMUSG00000024953,0,0,3,0,0,0
ENSMUSG00000024958,1,0,5,0,0,0
ENSMUSG00000024968,0,0,6,0,0,0
ENSMUSG00000025085,0,0,0,0,0,10
ENSMUSG00000025132,0,0,22,0,0,0
ENSMUSG00000025153,0,0,0,0,0,71
ENSMUSG00000025173,0,0,0,0,1,0
ENSMUSG00000025203,0,1,0,0,0,0
ENSMUSG00000025261,0,11,0,0,0,0
ENSMUSG00000025283,0,2,0,0,0,0
ENSMUSG00000025337,0,8,0,0,0,0
ENSMUSG00000025353,0,26,0,0,0,0
ENSMUSG00000025410,0,99,0,0,0,0
ENSMUSG00000025428,42,0,0,0,0,0
ENSMUSG00000025508,0,0,5,0,0,0
ENSMUSG00000025591,0,0,0,0,0,3
ENSMUSG00000025613,0,2,0,0,0,0
ENSMUSG00000025646,0,0,0,0,0,10
ENSMUSG00000025651,0,0,0,0,0,4
ENSMUSG00000025786,0,73,0,0,0,0
ENSMUSG00000025794,0,0,8,0,0,0
ENSMUSG00000025809,9,0,0,0,0,0
ENSMUSG00000025854,0,0,1,0,0,0
ENSMUSG00000025855,45,0,0,0,0,0
ENSMUSG00000026103,0,0,0,0,0,1
ENSMUSG00000026204,0,0,0,0,1,0
ENSMUSG00000026238,0,1,7,0,0,0
ENSMUSG00000026305,0,3,0,0,0,0
ENSMUSG00000026311,0,18,0,0,0,230
ENSMUSG00000026434,0,0,0,0,0,1
ENSMUSG00000026455,0,110,0,0,0,0
ENSMUSG00000026457,0,38,0,0,0,0
ENSMUSG00000026480,0,0,0,0,0,3
ENSMUSG00000026640,3,0,0,0,0,0
ENSMUSG00000026718,0,14,0,0,0,0
ENSMUSG00000026728,0,36,0,0,0,0
ENSMUSG00000026740,0,0,1,0,0,0
ENSMUSG00000026750,0,0,0,1,0,0
ENSMUSG00000026779,0,0,24,0,0,0
ENSMUSG00000026854,0,0,0,0,0,10
ENSMUSG00000026856,1,0,0,0,0,0
ENSMUSG00000026883,0,0,0,0,0,4
ENSMUSG00000026933,0,4,0,0,0,0
ENSMUSG00000026969,0,0,0,0,0,2
ENSMUSG00000027130,0,2,0,0,0,0
ENSMUSG00000027316,0,0,0,0,1,0
ENSMUSG00000027488,0,4,0,0,0,0
ENSMUSG00000027533,0,36,0,0,0,0
ENSMUSG00000027602,24,8,0,0,20,453
ENSMUSG00000027680,0,5,0,0,0,0
ENSMUSG00000027797,10,0,0,0,0,0
ENSMUSG00000027852,0,238,0,0,0,0
ENSMUSG00000027889,0,0,0,0,5,0
ENSMUSG00000028161,0,0,12,0,0,0
ENSMUSG00000028246,4,3,0,0,0,0
ENSMUSG00000028333,0,0,0,0,0,2
ENSMUSG00000028382,0,1,0,0,0,0
ENSMUSG00000028399,0,0,0,15,0,0
ENSMUSG00000028430,0,3,0,0,0,0
ENSMUSG00000028433,12,0,0,0,0,0
ENSMUSG00000028495,0,0,7,0,0,0
ENSMUSG00000028519,0,0,0,0,0,25
ENSMUSG00000028639,0,87,0,0,0,15
ENSMUSG00000028811,0,0,7,0,0,0
ENSMUSG00000028832,0,0,6,0,0,0
ENSMUSG00000028833,0,0,61,0,0,0
ENSMUSG00000028851,0,0,0,2,0,0
ENSMUSG00000028932,0,31,0,0,0,0
ENSMUSG00000028936,0,0,8,0,0,0
ENSMUSG00000028949,0,0,0,14,0,0
ENSMUSG00000029053,0,13,0,0,0,0
ENSMUSG00000029064,0,0,17,0,0,0
ENSMUSG00000029120,0,0,0,0,1,0
ENSMUSG00000029135,0,0,0,0,0,1
ENSMUSG00000029147,39,0,0,0,0,0
ENSMUSG00000029168,0,5,0,0,0,0
ENSMUSG00000029223,0,3,0,0,0,0
ENSMUSG00000029406,1,0,0,0,0,0
ENSMUSG00000029419,0,0,43,0,0,0
ENSMUSG00000029426,2,0,0,0,0,0
ENSMUSG00000029467,0,0,0,0,0,1
ENSMUSG00000029580,0,0,23,0,0,2
ENSMUSG00000029616,0,0,0,0,1,0
ENSMUSG00000029623,0,0,0,0,1,0
ENSMUSG00000029629,0,0,0,0,0,40
ENSMUSG00000029657,0,0,19,0,0,0
ENSMUSG00000029674,0,0,0,0,0,5
ENSMUSG00000029714,0,0,0,0,0,8
ENSMUSG00000029716,0,125,0,0,0,0
ENSMUSG00000029840,0,16,0,0,0,0
ENSMUSG00000029861,0,0,0,2,0,0
ENSMUSG00000029925,0,0,0,0,0,8
ENSMUSG00000030020,0,2,0,0,1,0
ENSMUSG00000030035,0,23,0,0,0,0
ENSMUSG00000030122,0,7,0,0,0,0
ENSMUSG00000030209,0,0,0,1,3,0
ENSMUSG00000030224,0,0,0,0,2,0
ENSMUSG00000030246,0,0,2,0,0,0
ENSMUSG00000030265,0,1,0,0,0,0
ENSMUSG00000030272,0,0,0,0,0,2
ENSMUSG00000030298,0,0,0,1,0,0
ENSMUSG00000030315,0,4,0,0,0,0
ENSMUSG00000030397,0,0,0,0,0,28
ENSMUSG00000030410,19,0,0,0,0,0
ENSMUSG00000030432,0,0,0,0,0,1
ENSMUSG00000030551,0,0,0,0,0,1
ENSMUSG00000030603,1,0,0,0,0,0
ENSMUSG00000030652,0,0,1,0,0,0
ENSMUSG00000030678,0,3,0,0,0,0
ENSMUSG00000030846,0,13,0,0,0,0
ENSMUSG00000030890,6,0,0,0,0,0
ENSMUSG00000031065,0,0,0,20,0,0
ENSMUSG00000031153,0,0,0,0,0,113
ENSMUSG00000031169,0,0,0,0,0,1
ENSMUSG00000031197,0,5,0,0,0,0
ENSMUSG00000031320,6,0,0,0,0,12
ENSMUSG00000031353,2,0,0,0,0,0
ENSMUSG00000031355,0,0,0,0,0,2
ENSMUSG00000031429,0,0,17,0,0,0
ENSMUSG00000031708,0,161,0,0,0,0
ENSMUSG00000031792,0,0,0,11,0,0
ENSMUSG00000031824,0,0,75,0,0,0
ENSMUSG00000031834,0,0,0,63,0,0
ENSMUSG00000031839,2,0,0,0,0,0
ENSMUSG00000031865,0,0,103,0,0,0
ENSMUSG00000031906,1,0,0,0,0,0
ENSMUSG00000031916,0,0,0,11,0,0
ENSMUSG00000031934,0,0,19,0,0,0
ENSMUSG00000031959,0,0,0,0,0,1
ENSMUSG00000031987,0,0,25,0,0,0
ENSMUSG00000032097,0,2,0,0,0,0
ENSMUSG00000032123,0,27,0,0,0,0
ENSMUSG00000032171,0,0,60,0,0,22
ENSMUSG00000032178,0,0,0,0,0,3
ENSMUSG00000032293,0,0,0,0,0,13
ENSMUSG00000032294,0,83,0,0,0,0
ENSMUSG00000032366,7,0,0,0,0,0
ENSMUSG00000032374,0,0,5,0,0,0
ENSMUSG00000032376,0,9,0,0,0,0
ENSMUSG00000032399,0,8,0,0,0,0
ENSMUSG00000032518,28,1,0,0,2,4
ENSMUSG00000032549,0,0,16,0,0,0
ENSMUSG00000032582,0,5,0,0,0,0
ENSMUSG00000032637,16,0,0,0,0,0
ENSMUSG00000032959,0,0,0,0,0,69
ENSMUSG00000033083,0,0,0,0,0,3
ENSMUSG00000033287,1,0,0,0,0,0
ENSMUSG00000033307,0,8,0,0,0,0
ENSMUSG00000033350,13,0,0,0,0,0
ENSMUSG00000033379,0,0,1,1,0,0
ENSMUSG00000033416,0,0,0,0,0,2
ENSMUSG00000033423,0,0,0,0,13,1
ENSMUSG00000033487,0,0,0,0,2,0
ENSMUSG00000033530,14,0,0,0,0,0
ENSMUSG00000033623,1,0,0,0,0,0
ENSMUSG00000033819,0,0,0,0,0,10
ENSMUSG00000033949,0,0,0,0,0,3
ENSMUSG00000034158,0,0,2,0,0,0
ENSMUSG00000034254,0,0,0,0,6,0
ENSMUSG00000034570,0,0,0,0,0,1
ENSMUSG00000034729,0,1,0,0,0,0
ENSMUSG00000034875,0,12,0,0,0,0
ENSMUSG00000034911,0,0,0,0,0,6
ENSMUSG00000034928,0,0,6,0,0,0
ENSMUSG00000034940,0,3,0,0,0,0
ENSMUSG00000034994,63,0,159,3,0,0
ENSMUSG00000035168,5,0,0,0,0,0
ENSMUSG00000035202,111,732,457,149,332,4139
ENSMUSG00000035203,0,463,40,0,0,0
ENSMUSG00000035247,0,3,0,0,0,0
ENSMUSG00000035329,0,0,0,0,0,3
ENSMUSG00000035443,0,20,0,0,0,0
ENSMUSG00000035513,0,0,25,0,0,0
ENSMUSG00000035585,1,0,0,0,0,0
ENSMUSG00000036046,0,0,0,13,1,0
ENSMUSG00000036371,0,1,0,0,0,0
ENSMUSG00000036438,0,0,7,0,0,0
ENSMUSG00000036442,0,0,0,0,0,2
ENSMUSG00000036466,0,0,10,0,0,0
ENSMUSG00000036504,0,0,0,0,2,0
ENSMUSG00000036644,0,1,0,0,0,0
ENSMUSG00000036658,0,1,0,0,0,0
ENSMUSG00000036751,0,0,0,0,0,2
ENSMUSG00000036752,0,0,0,0,0,27
ENSMUSG00000036792,4,0,0,0,0,0
ENSMUSG00000036882,0,0,0,0,0,47
ENSMUSG00000036913,0,0,0,0,0,256
ENSMUSG00000036934,0,4,0,0,0,0
ENSMUSG00000036957,0,0,0,0,0,53
ENSMUSG00000037032,0,0,0,0,1,0
ENSMUSG00000037316,0,0,1,0,0,0
ENSMUSG00000037406,0,0,0,0,0,27
ENSMUSG00000037487,0,55,0,0,0,0
ENSMUSG00000037503,2,0,0,0,0,0
ENSMUSG00000037509,0,53,0,0,0,0
ENSMUSG00000037573,0,14,0,0,0,0
ENSMUSG00000037703,0,0,5,0,0,0
ENSMUSG00000037712,1,0,0,0,0,0
ENSMUSG00000037742,0,9,7,0,0,0
ENSMUSG00000037754,0,0,0,0,0,29
ENSMUSG00000037805,0,0,0,0,1,0
ENSMUSG00000037855,0,2,0,0,0,0
ENSMUSG00000037905,7,0,0,0,0,0
ENSMUSG00000037989,0,0,0,9,0,0
ENSMUSG00000038072,4,0,0,0,0,0
ENSMUSG00000038095,0,1,0,0,0,0
ENSMUSG00000038141,0,0,0,0,1,0
ENSMUSG00000038145,0,2,0,0,0,0
ENSMUSG00000038181,0,0,0,2,0,0
