,GeneName
ENSMUSG00000000149,Gna12
ENSMUSG00000000374,Trappc10
ENSMUSG00000000378,Ccm2
ENSMUSG00000000560,Gabra2
ENSMUSG00000000740,Rpl13
ENSMUSG00000000976,Heatr6
ENSMUSG00000001017,Chtop
ENSMUSG00000001158,Snrnp27
ENSMUSG00000001248,Gramd1a
ENSMUSG00000001419,Mef2d
ENSMUSG00000001472,Tcf25
ENSMUSG00000001729,Akt1
ENSMUSG00000001794,Capns1
ENSMUSG00000001802,Lrp3
ENSMUSG00000001911,Nfix
ENSMUSG00000002297,Dbf4
ENSMUSG00000002379,Ndufa11
ENSMUSG00000002768,Mea1
ENSMUSG00000002799,Jag2
ENSMUSG00000002968,Med25
ENSMUSG00000003072,Atp5d
ENSMUSG00000003352,Cacnb3
ENSMUSG00000003363,Pld3
ENSMUSG00000003380,Rabac1
ENSMUSG00000003410,Elavl3
ENSMUSG00000003429,Rps11
ENSMUSG00000003863,Ppfia3
ENSMUSG00000003868,Ruvbl2
ENSMUSG00000003970,Rpl8
ENSMUSG00000004031,Brinp2
ENSMUSG00000004100,Ppan
ENSMUSG00000004568,Arhgef18
ENSMUSG00000004980,Hnrnpa2b1
ENSMUSG00000005034,Prkacb
ENSMUSG00000005161,Prdx2
ENSMUSG00000005299,Letm1
ENSMUSG00000005354,Txn2
ENSMUSG00000005417,Mprip
ENSMUSG00000005442,Cic
ENSMUSG00000005483,Dnajb1
ENSMUSG00000005583,Mef2c
ENSMUSG00000005656,Snx6
ENSMUSG00000005813,Metap1
ENSMUSG00000005871,Apc
ENSMUSG00000005982,Naa60
ENSMUSG00000006058,Snf8
ENSMUSG00000006215,Zbtb17
ENSMUSG00000006273,Atp6v1b2
ENSMUSG00000006476,Nsmf
ENSMUSG00000006517,Mvd
ENSMUSG00000006586,Runx1t1
ENSMUSG00000007739,Cct4
ENSMUSG00000007815,Rhoa
ENSMUSG00000007892,Rplp1
ENSMUSG00000007944,Ttc9b
ENSMUSG00000007950,Abhd8
ENSMUSG00000008035,Mid1ip1
ENSMUSG00000008140,Emc10
ENSMUSG00000008348,Ubc
ENSMUSG00000008450,Nutf2
ENSMUSG00000008658,Rbfox1
ENSMUSG00000008668,Rps18
ENSMUSG00000008682,Rpl10
ENSMUSG00000009406,Elk1
ENSMUSG00000009739,Pou6f1
ENSMUSG00000009927,Rps25
ENSMUSG00000010453,Kansl3
ENSMUSG00000012405,Rpl15
ENSMUSG00000012848,Rps5
ENSMUSG00000013419,Zfp651
ENSMUSG00000013698,Pea15a
ENSMUSG00000014498,Ankrd52
ENSMUSG00000014602,Kif1a
ENSMUSG00000015087,Rabl6
ENSMUSG00000015112,Slc25a13
ENSMUSG00000015709,Arnt2
ENSMUSG00000016349,Eef1a2
ENSMUSG00000016427,Ndufa1
ENSMUSG00000016559,H3f3b
ENSMUSG00000016933,Plcg1
ENSMUSG00000016946,Kctd5
ENSMUSG00000017404,Rpl19
ENSMUSG00000018076,Med13l
ENSMUSG00000018189,Uchl5
ENSMUSG00000018286,Psmb6
ENSMUSG00000018293,Pfn1
ENSMUSG00000018411,Mapt
ENSMUSG00000018415,Gid4
ENSMUSG00000018476,Kdm6b
ENSMUSG00000018559,Ctdnep1
ENSMUSG00000018567,Gabarap
ENSMUSG00000018585,Atox1
ENSMUSG00000018858,Mrpl58
ENSMUSG00000018965,Ywhah
ENSMUSG00000019362,D8Ertd738e
ENSMUSG00000019432,Ddx39b
ENSMUSG00000019505,Ubb
ENSMUSG00000019876,Pkib
ENSMUSG00000019917,Septin10
ENSMUSG00000020056,Washc3
ENSMUSG00000020088,Sar1a
ENSMUSG00000020089,Ppa1
ENSMUSG00000020091,Eif4ebp2
ENSMUSG00000020135,Apc2
ENSMUSG00000020163,Uqcr11
ENSMUSG00000020255,Nopchap1
