"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000149","Gna12",0.872006303058976,-0.180606581489516,1.03386536594773,0.506125866403509,0.972995199844791
"ENSMUSG00000000374","Trappc10",0.828267574207129,0.191122719242273,1.03910753964385,0.336754985853978,0.972995199844791
"ENSMUSG00000000378","Ccm2",0.0473957792972035,-0.0790618688579686,1.0116751071039,0.971311099387544,0.998668573016481
"ENSMUSG00000000560","Gabra2",0.0622861645042125,-0.0794847064945462,1.01219012902398,0.998668573016481,0.998668573016481
"ENSMUSG00000000740","Rpl13",0.517667233879455,0.180063991672022,1.03502917809585,0.415817807740814,0.972995199844791
"ENSMUSG00000000976","Heatr6",2.07066893551782,0.208305235888557,1.046751629541,0.193968045842519,0.972995199844791
"ENSMUSG00000001017","Chtop",0.0355468344729026,-0.0697537670152186,1.0114441167414,0.930132717125864,0.998668573016481
"ENSMUSG00000001158","Snrnp27",5.99234238893084,-0.212646793397968,1.05081139323038,0.176806913953144,0.972995199844791
"ENSMUSG00000001248","Gramd1a",3.79090688634557,0.12921456757871,1.00664619833316,0.601268886908789,0.972995199844791
"ENSMUSG00000001419","Mef2d",0.355468344729026,-0.153000003202114,1.02374156852568,0.670036296263513,0.972995199844791
"ENSMUSG00000001472","Tcf25",0.311430822521063,-0.145569954964357,1.02173041033381,0.701824598237972,0.972995199844791
"ENSMUSG00000001729","Akt1",0.331770455080424,-0.150509257939418,1.02300582862759,0.683197404308801,0.972995199844791
"ENSMUSG00000001794","Capns1",1.99744746297695,-0.196212896156541,1.04138503797405,0.355026649665529,0.972995199844791
"ENSMUSG00000001802","Lrp3",1.48803133147947,0.200025852720039,1.0429174750351,0.25111643422522,0.972995199844791
"ENSMUSG00000001911","Nfix",8.96920768860661,-0.215736403141109,1.05280740226253,NA,NA
"ENSMUSG00000002297","Dbf4",0.517667233879455,0.180063991672022,1.03502917809585,0.415817807740814,0.972995199844791
"ENSMUSG00000002379","Ndufa11",7.45440816786416,0.222650078138119,1.05414319224347,NA,NA
"ENSMUSG00000002768","Mea1",0.436003151529488,-0.158173836120504,1.0254349680563,0.636324303970574,0.972995199844791
"ENSMUSG00000002799","Jag2",0.621200680655347,0.184511435331074,1.03659385831569,0.387419149939681,0.972995199844791
"ENSMUSG00000002968","Med25",0.49601044382649,0.167970314209129,1.0315669215068,0.520126684623126,0.972995199844791
"ENSMUSG00000003072","Atp5d",1.16831888676016,0.195546403758488,1.04097412312409,0.288720318060486,0.972995199844791
"ENSMUSG00000003352","Cacnb3",0.93180102098302,0.193668141383627,1.04013842820948,0.315552509699763,0.972995199844791
"ENSMUSG00000003363","Pld3",0.103533446775891,0.134278747639229,1.02320687397644,0.607378784422044,0.972995199844791
"ENSMUSG00000003380","Rabac1",16.2547511438149,0.228079564715964,1.05684169187735,NA,NA
"ENSMUSG00000003410","Elavl3",0.177734172364513,-0.127279599844405,1.01733729219013,0.801772043243866,0.972995199844791
"ENSMUSG00000003429","Rps11",0.724734127431238,0.188122605928049,1.03793774110145,0.36175491606943,0.972995199844791
"ENSMUSG00000003863","Ppfia3",3.96808355061192,0.216179896913053,1.05074708513299,0.125801886569633,0.972995199844791
"ENSMUSG00000003868","Ruvbl2",5.63490194238008,-0.224270852587796,1.05427799001519,0.170161882225835,0.972995199844791
"ENSMUSG00000003970","Rpl8",5.76252971946801,-0.212347921798937,1.05062226058625,0.181317353980488,0.972995199844791
"ENSMUSG00000004031","Brinp2",22.8808917374719,0.229922656715837,1.05771174488508,NA,NA
"ENSMUSG00000004100","Ppan",0.103533446775891,0.134278747639229,1.02320687397644,0.607378784422044,0.972995199844791
"ENSMUSG00000004568","Arhgef18",0.103533446775891,0.134278747639229,1.02320687397644,0.607378784422044,0.972995199844791
"ENSMUSG00000004980","Hnrnpa2b1",5.99234238893084,-0.212646793397968,1.05081139323038,0.176806913953144,0.972995199844791
"ENSMUSG00000005034","Prkacb",1.24240136131069,0.199481026926366,1.04262611144059,0.267244919158276,0.972995199844791
"ENSMUSG00000005161","Prdx2",0.165885227540212,-0.124619788471866,1.0168202928698,0.814673468236131,0.972995199844791
"ENSMUSG00000005299","Letm1",10.653053135877,-0.216453028961465,1.05327530081352,0.116910460926325,0.972995199844791
"ENSMUSG00000005354","Txn2",3.11430822521063,-0.20645754283581,1.0470212606489,0.262320095639822,0.972995199844791
"ENSMUSG00000005417","Mprip",1.1388679145348,0.197772897766616,1.04187739021095,0.281326364019321,0.972995199844791
"ENSMUSG00000005442","Cic",30.4119960201128,-0.21973483894412,1.05548633727667,0.0497985064448442,0.972995199844791
"ENSMUSG00000005483","Dnajb1",0.517667233879455,0.180063991672022,1.03502917809585,0.415817807740814,0.972995199844791
"ENSMUSG00000005583","Mef2c",0.24914465801685,-0.136792575877653,1.01954702384576,0.745488576265846,0.972995199844791
"ENSMUSG00000005656","Snx6",0.665815820992315,-0.154287134074079,1.02506479056212,0.830724987588975,0.972995199844791
"ENSMUSG00000005813","Metap1",0.436003151529488,-0.158173836120504,1.0254349680563,0.636324303970574,0.972995199844791
"ENSMUSG00000005871","Apc",2.64985759629827,0.103254420909295,1.00167189693422,0.461035493144691,0.972995199844791
"ENSMUSG00000005982","Naa60",0.177734172364513,-0.127279599844405,1.01733729219013,0.801772043243866,0.972995199844791
"ENSMUSG00000006058","Snf8",3.00246995650084,0.213513211392878,1.04936672822338,0.150554987573774,0.972995199844791
"ENSMUSG00000006215","Zbtb17",0.186858493512638,-0.125003172278293,1.01709513128775,0.801511996987261,0.972995199844791
"ENSMUSG00000006273","Atp6v1b2",0.389439628920052,0.162858058916941,1.03010942906814,0.520126684706527,0.972995199844791
"ENSMUSG00000006476","Nsmf",5.7978730194499,0.22065796309816,1.05307653418904,0.0922094253498556,0.972995199844791
"ENSMUSG00000006517","Mvd",0.389439628920052,0.162858058916941,1.03010942906814,0.520126684706527,0.972995199844791
"ENSMUSG00000006586","Runx1t1",0.103533446775891,0.134278747639229,1.02320687397644,0.607378784422044,0.972995199844791
"ENSMUSG00000007739","Cct4",0.124572329008425,-0.10810503328008,1.01446589620378,0.878781975151973,0.972995199844791
"ENSMUSG00000007815","Rhoa",0.293498996931345,-0.148063238544272,1.02154951644658,0.706554431049196,0.972995199844791
