Gene,GeneName,LRT_stat,stat_full,LRT_day2,LRT_day7,log2FoldChange,x_lrt,y_stat_full,panel_lineage
ENSG00000000003,TSPAN6,3.75,5.68,0.22,0.61,0.46,3.75,5.68,ectoderm
ENSG00000000005,TNMD,0.0,0.11,0.06,0.0,3.21,0.0,0.11,ectoderm
ENSG00000000419,DPM1,19.29,4.63,1.92,7.88,-1.06,19.29,4.63,ectoderm
ENSG00000000457,SCYL3,4.0,1.56,1.14,0.49,0.12,4.0,1.56,ectoderm
ENSG00000000460,C1orf112,15.53,6.49,3.21,0.08,2.64,15.53,6.49,ectoderm
ENSG00000000938,FGR,0.0,0.14,0.05,0.0,3.02,0.0,0.14,ectoderm
ENSG00000000971,CFH,15.56,3.77,0.77,2.79,-1.3,15.56,3.77,ectoderm
ENSG00000001036,FUCA2,3.47,1.08,0.31,0.24,1.74,3.47,1.08,ectoderm
ENSG00000001084,GCLC,9.47,6.87,0.1,5.45,-0.94,9.47,6.87,ectoderm
ENSG00000001167,NFYA,4.3,4.35,3.11,4.43,1.24,4.3,4.35,ectoderm
ENSG00000001460,STPG1,16.12,6.43,0.52,0.04,0.66,16.12,6.43,ectoderm
ENSG00000001461,NIPAL3,32.83,7.03,4.14,5.16,2.29,32.83,7.03,ectoderm
ENSG00000001497,LAS1L,4.67,1.63,0.0,0.0,1.61,4.67,1.63,ectoderm
ENSG00000001561,ENPP4,6.35,0.26,0.1,1.38,4.97,6.35,0.26,ectoderm
ENSG00000001626,CFTR,0.0,0.52,0.0,0.08,0.87,0.0,0.52,ectoderm
ENSG00000001629,ANKIB1,2.67,0.49,0.01,0.84,1.41,2.67,0.49,ectoderm
ENSG00000001630,CYP51A1,2.06,1.13,2.87,0.02,-0.24,2.06,1.13,ectoderm
ENSG00000001631,KRIT1,15.11,7.09,2.92,1.94,0.73,15.11,7.09,ectoderm
ENSG00000002016,RAD52,0.0,0.81,0.12,0.48,0.6,0.0,0.81,ectoderm
ENSG00000002330,BAD,7.95,1.74,1.87,11.71,1.72,7.95,1.74,ectoderm
ENSG00000002549,LAP3,6.14,13.18,3.96,17.89,1.91,6.14,13.18,ectoderm
ENSG00000002587,HS3ST1,8.72,0.04,3.39,1.15,-1.26,8.72,0.04,ectoderm
ENSG00000002726,AOC1,2.29,3.78,1.5,0.04,0.19,2.29,3.78,ectoderm
ENSG00000002746,HECW1,4.87,7.53,1.42,0.11,-0.42,4.87,7.53,ectoderm
ENSG00000002822,MAD1L1,3.33,0.85,0.03,0.64,1.57,3.33,0.85,ectoderm
ENSG00000002834,LASP1,9.83,5.33,0.04,0.24,1.01,9.83,5.33,ectoderm
ENSG00000002919,SNX11,3.42,5.77,2.41,0.57,-0.38,3.42,5.77,ectoderm
ENSG00000002933,TMEM176A,1.81,0.55,0.16,0.48,1.52,1.81,0.55,ectoderm
ENSG00000003096,KLHL13,0.0,0.08,0.0,0.0,2.59,0.0,0.08,ectoderm
