"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"base64url","1.4"
"beeswarm","0.4.0"
"bench","1.1.4"
"BH","1.87.0-1"
"Biobase","2.66.0"
"BiocGenerics","0.52.0"
"BiocManager","1.30.26"
"BiocParallel","1.40.2"
"BiocVersion","3.20.0"
"bit","4.6.0"
"bit64","4.6.0-1"
"blob","1.2.4"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.10"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"checkmate","2.3.3"
"classInt","0.4-11"
"cleanrmd","0.1.1"
"cli","3.6.5"
"clipr","0.8.0"
"colorspace","2.1-2"
"commonmark","2.0.0"
"covr","3.6.4"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.3"
"curl","7.0.0"
"data.table","1.17.8"
"DBI","1.2.3"
"dbplyr","2.5.1"
"DelayedArray","0.32.0"
"desc","1.4.3"
"DESeq2","1.46.0"
"dichromat","2.0-0.1"
"diffobj","0.3.6"
"digest","0.6.37"
"docopt","0.7.2"
"downlit","0.4.4"
"dplyr","1.1.4"
"dygraphs","1.1.1.6"
"e1071","1.7-16"
"edgeR","4.4.2"
"egg","0.4.5"
"ellipsis","0.3.2"
"evaluate","1.0.5"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"filehash","2.4-6"
"fontawesome","0.5.3"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.6"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"generics","0.1.4"
"GenomeInfoDb","1.42.3"
"GenomeInfoDbData","1.2.13"
"GenomicRanges","1.58.0"
"gert","2.1.5"
"ggbeeswarm","0.7.2"
"ggplot2","4.0.0"
"ggplot2movies","0.0.1"
"ggpp","0.5.9"
"ggrepel","0.9.6"
"gh","1.5.0"
"gitcreds","0.1.2"
"glue","1.8.0"
"gridExtra","2.3"
"gridSVG","1.7-7"
"gtable","0.3.6"
"here","1.0.2"
"hexbin","1.28.5"
"highr","0.11"
"Hmisc","5.2-4"
"hms","1.1.4"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.2.1"
"igraph","2.2.1"
"ini","0.3.1"
"IRanges","2.40.1"
"isoband","0.2.7"
"jose","1.2.1"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"JuliaCall","0.17.6"
"katex","1.5.0"
"knitr","1.50"
"labeling","0.4.3"
"Lahman","13.0-0"
"lambda.r","1.2.4"
"later","1.4.4"
"lazyeval","0.2.2"
"lifecycle","1.0.4"
"limma","3.62.2"
"litedown","0.8"
"littler","0.3.20"
"lobstr","1.1.2"
"locfit","1.5-9.12"
"lubridate","1.9.4"
"magrittr","2.0.4"
"mapproj","1.2.12"
"maps","3.4.3"
"markdown","2.0"
"MatrixGenerics","1.18.1"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"multcomp","1.4-29"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"nycflights13","1.0.2"
"openssl","2.3.4"
"otel","0.2.0"
"packrat","0.9.3"
"patchwork","1.3.2"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgload","1.4.1"
"PKI","0.1-15"
"plogr","0.2.0"
"plyr","1.8.9"
"png","0.1-8"
"polynom","1.4-1"
"praise","1.0.0"
"prettydoc","0.4.1"
"prettyunits","1.2.0"
"processx","3.8.6"
"profmem","0.7.0"
"profvis","0.4.0"
"progress","1.2.3"
"promises","1.5.0"
"proxy","0.4-27"
"ps","1.9.1"
"purrr","1.2.0"
"quantreg","6.1"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppArmadillo","15.0.2-2"
"RcppTOML","0.2.3"
"readr","2.1.5"
"remotes","2.5.0"
"renv","1.1.5"
"repurrrsive","1.1.0"
"reshape2","1.4.4"
"reticulate","1.44.0"
"rex","1.2.1"
"rgl","1.3.24"
"rjson","0.2.23"
"rlang","1.1.6"
"rmarkdown","2.30"
"roxygen2","7.3.3"
"rprojroot","2.1.1"
"rsconnect","1.6.1"
"RSQLite","2.4.3"
"rstudioapi","0.17.1"
"rversions","3.0.0"
"S4Arrays","1.6.0"
"S4Vectors","0.44.0"
"S7","0.2.0"
"sandwich","3.1-1"
"sass","0.4.10"
"scales","1.4.0"
"secretbase","1.0.5"
"sessioninfo","1.2.3"
"shiny","1.11.1"
"snow","0.4-4"
"snowflakeauth","0.2.0"
"sourcetools","0.1.7-1"
"SparseArray","1.6.2"
"SparseM","1.84-2"
"statmod","1.5.1"
"stringi","1.8.7"
"stringr","1.6.0"
"styler","1.11.0"
"SummarizedExperiment","1.36.0"
"sys","3.4.3"
"targets","1.11.4"
"testit","0.13"
"testthat","3.2.3"
"TH.data","1.1-4"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tikzDevice","0.12.6"
"timechange","0.3.0"
"tinytex","0.57"
"tzdb","0.5.0"
"UCSC.utils","1.2.0"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"V8","8.0.1"
"vctrs","0.6.5"
"vdiffr","1.0.8"
"vipor","0.4.7"
"viridisLite","0.4.2"
"vroom","1.6.6"
"waldo","0.6.2"
"webshot","0.5.5"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.4"
"xfun","0.54"
"XML","3.99-0.19"
"xml2","1.4.1"
"xopen","1.0.1"
"xtable","1.8-4"
"xts","0.14.1"
"XVector","0.46.0"
"yaml","2.3.10"
"zip","2.3.3"
"zlibbioc","1.52.0"
"zoo","1.8-14"
"base","4.4.0"
"boot","1.3-32"
"class","7.3-23"
"cluster","2.1.8.1"
"codetools","0.2-20"
"compiler","4.4.0"
"datasets","4.4.0"
"foreign","0.8-90"
"graphics","4.4.0"
"grDevices","4.4.0"
"grid","4.4.0"
"KernSmooth","2.23-26"
"lattice","0.22-7"
"MASS","7.3-65"
"Matrix","1.7-4"
"methods","4.4.0"
"mgcv","1.9-3"
"nlme","3.1-168"
"nnet","7.3-20"
"parallel","4.4.0"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.4.0"
"stats","4.4.0"
"stats4","4.4.0"
"survival","3.8-3"
"tcltk","4.4.0"
"tools","4.4.0"
"utils","4.4.0"
