"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","TSPAN6",0.382960253721414,1.81675320352963e-07,0.00144269491884505,0.726351506003695,0.997185502069425
"ENSG00000000005","TNMD",0,NA,NA,NA,NA
"ENSG00000000419","DPM1",0.470439137445301,-1.05401625148392e-07,0.00144269490822019,0.688968325759473,0.997185502069425
"ENSG00000000457","SCYL3",0.55465503712998,-1.48958906653509e-08,0.00144269488888668,0.990332221661269,0.997185502069425
"ENSG00000000460","C1orf112",0.293583235515283,-1.88879071055884e-07,0.00144269502427814,0.416543459021505,0.997185502069425
"ENSG00000000938","FGR",0,NA,NA,NA,NA
"ENSG00000000971","CFH",0,NA,NA,NA,NA
"ENSG00000001036","FUCA2",0,NA,NA,NA,NA
"ENSG00000001084","GCLC",0.195804173634302,-2.60267567333771e-08,0.00144269494324701,0.740210819811568,0.997185502069425
"ENSG00000001167","NFYA",0,NA,NA,NA,NA
"ENSG00000001460","STPG1",0.176773885305905,-4.9267797816954e-08,0.00144269495069626,0.740210819811568,0.997185502069425
"ENSG00000001461","NIPAL3",0.213458859419582,2.7347650767426e-07,0.00144269497316271,0.700614842916444,0.997185502069425
"ENSG00000001497","LAS1L",0.456229825460854,1.15749399048852e-07,0.00144269491171386,0.765146167540235,0.997185502069425
"ENSG00000001561","ENPP4",0,NA,NA,NA,NA
"ENSG00000001617","SEMA3F",0.117686424335115,2.15651006351786e-07,0.00144269496797149,0.901815391175478,0.997185502069425
"ENSG00000001626","CFTR",0,NA,NA,NA,NA
"ENSG00000001629","ANKIB1",0.409854863636453,2.44121417335275e-07,0.00144269498246498,0.501299129324206,0.997185502069425
"ENSG00000001630","CYP51A1",0.0398129238391606,1.29711507168867e-07,0.00144269497759895,0.845007961940091,0.997185502069425
"ENSG00000001631","KRIT1",1.97786290655163,-1.89011074152949e-07,0.0014426948067617,0.655304057793595,0.997185502069425
"ENSG00000002016","RAD52",0,NA,NA,NA,NA
"ENSG00000002330","BAD",3.11935869916999,7.47529024359803e-07,0.00144269445428343,0.311456678724753,0.997185502069425
"ENSG00000002549","LAP3",0.927422873545541,5.42216948790973e-07,0.00144269500420248,0.213031320821409,0.997185502069425
"ENSG00000002586","CD99",1.30341243927724,-1.51585526430403e-07,0.00144269478088706,0.731977205236952,0.997185502069425
"ENSG00000002587","HS3ST1",0.154615647252024,2.44515979506587e-07,0.00144269496868959,0.805169856080067,0.997185502069425
"ENSG00000002726","AOC1",0,NA,NA,NA,NA
"ENSG00000002745","WNT16",0,NA,NA,NA,NA
"ENSG00000002746","HECW1",0.110658182134275,-1.37894451962298e-07,0.00144269500605259,0.546016460260605,0.997185502069425
"ENSG00000002822","MAD1L1",0,NA,NA,NA,NA
"ENSG00000002834","LASP1",0.103077098168016,2.06369463207984e-07,0.00144269496756392,0.940562425704447,0.997185502069425
"ENSG00000002919","SNX11",0.481374173991926,-1.62873864554674e-07,0.00144269496909645,0.489792263622979,0.997185502069425
"ENSG00000002933","TMEM176A",0,NA,NA,NA,NA
"ENSG00000003056","M6PR",0.28814510831769,-4.06161692890064e-08,0.00144269493265592,0.779880356379362,0.997185502069425
"ENSG00000003096","KLHL13",0,NA,NA,NA,NA
"ENSG00000003137","CYP26B1",0.273921922933488,-1.84781354722355e-07,0.00144269502153407,0.452534572014983,0.997185502069425
"ENSG00000003147","ICA1",0.553290910671374,-2.00370683286038e-07,0.00144269503342624,0.325845775358832,0.997185502069425
"ENSG00000003249","DBNDD1",1.8527722644255,2.32239888423837e-07,0.00144269471621108,0.645525115825785,0.997185502069425
"ENSG00000003393","ALS2",1.28247618116808,-4.10497870225931e-07,0.00144269490209019,0.269584607484695,0.997185502069425
"ENSG00000003400","CASP10",0.782563356597412,-3.86952484380352e-07,0.00144269495013971,0.253494236349892,0.997185502069425
"ENSG00000003402","CFLAR",2.47270833387762,1.19035602806178e-07,0.00144269427726102,0.874041527751554,0.997185502069425
"ENSG00000003436","TFPI",0.850485975100034,-1.93566583544622e-07,0.00144269496091985,0.47590310611817,0.997185502069425
"ENSG00000003509","NDUFAF7",0.542929411885132,-2.49026043169813e-08,0.00144269489307731,0.965285399310013,0.997185502069425
"ENSG00000003756","RBM5",2.33318477394458,-4.94271887982161e-07,0.00144269506110488,0.0253958736484233,0.997185502069425
"ENSG00000003987","MTMR7",0,NA,NA,NA,NA
"ENSG00000003989","SLC7A2",0,NA,NA,NA,NA
"ENSG00000004059","ARF5",7.47247748609366,8.73964442694788e-07,0.00144269368994115,0.405220723791523,0.997185502069425
"ENSG00000004139","SARM1",0,NA,NA,NA,NA
"ENSG00000004142","POLDIP2",1.41151923092501,-3.12574751862715e-07,0.00144269499952191,0.187190786128113,0.997185502069425
"ENSG00000004399","PLXND1",0.553290910671374,-2.00370683286038e-07,0.00144269503342624,0.325845775358832,0.997185502069425
"ENSG00000004455","AK2",0.730874694750315,2.74093501024513e-07,0.0014426947577884,0.572223124256945,0.997185502069425
"ENSG00000004468","CD38",0,NA,NA,NA,NA
"ENSG00000004478","FKBP4",0.450407777275468,1.31094586711288e-07,0.00144269491311998,0.74480133176729,0.997185502069425
"ENSG00000004487","KDM1A",1.64103453058619,-3.39271501109919e-07,0.00144269480590659,0.442157268678075,0.997185502069425
"ENSG00000004534","RBM6",1.96660320572587,-5.04585872071762e-07,0.00144269501739614,0.0697618272033059,0.997185502069425
"ENSG00000004660","CAMKK1",0.327734043677456,1.31713651838781e-08,0.00144269492788123,0.968832083456207,0.997185502069425
"ENSG00000004700","RECQL",0.228068185586681,2.77612731983341e-07,0.00144269497430781,0.680873575010365,0.997185502069425
"ENSG00000004766","VPS50",0.149399627589102,-1.65127653627211e-08,0.00144269494149218,0.740210819811568,0.997185502069425
"ENSG00000004776","HSPB6",0,NA,NA,NA,NA
"ENSG00000004777","ARHGAP33",0,NA,NA,NA,NA
"ENSG00000004779","NDUFAB1",1.74641237457375,6.01626748138813e-07,0.001442694664811,0.317650313888441,0.997185502069425
"ENSG00000004799","PDK4",0,NA,NA,NA,NA
"ENSG00000004809","SLC22A16",0.192715031855428,-1.65632152921733e-07,0.00144269501207952,0.546016460260605,0.997185502069425
"ENSG00000004838","ZMYND10",0,NA,NA,NA,NA
"ENSG00000004846","ABCB5",0.051538549084008,1.42964138901189e-07,0.00144269497591839,0.845007961940091,0.997185502069425
"ENSG00000004848","ARX",0,NA,NA,NA,NA
"ENSG00000004864","SLC25A13",0.376858132064227,7.4287838451994e-08,0.00144269489756912,0.917432320458702,0.997185502069425
"ENSG00000004866","ST7",0,NA,NA,NA,NA
"ENSG00000004897","CDC27",0.788186664327789,-1.58459878496467e-07,0.00144269486151086,0.670269237163145,0.997185502069425
"ENSG00000004939","SLC4A1",0.137674002344255,-3.7568023135285e-08,0.00144269494594416,0.740210819811568,0.997185502069425
"ENSG00000004948","CALCR",0,NA,NA,NA,NA
"ENSG00000004961","HCCS",0.0588432121675576,1.50052435242088e-07,0.00144269497526246,0.845007961940091,0.997185502069425
"ENSG00000004975","DVL2",0,NA,NA,NA,NA
