"Gene","cm_2_1","cm_2_2","cm_2_3","cm_3_1","cm_3_2","cm_3_3","cm_4_1","cm_4_2","cm_4_3","cm_5_1","cm_5_2","cm_5_3"
"ENSG00000000003",0,1.13125717675414,1.92612325440238,0,0,1.10668191970032,4.60235631748463,0,0,0,0,0
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",0.401638489725927,0.565628588377072,0,0,0,6.64009151820193,0,0,0,0,0.478611189934857,0
"ENSG00000000457",0,1.13125717675414,0.642041084800792,0,0.564406430647798,0,0,0,0,0,0.478611189934857,0
"ENSG00000000460",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000938",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000971",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001036",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001084",0,0.565628588377072,0,0,0,0,0,3.09668017906223,0,0,0,0
"ENSG00000001167",0,0,0,0,0,0,0,0,15.408986035219,0,0,0
"ENSG00000001460",0.401638489725927,0,0,0.728918311446255,0,0,0,0,0,0,0,0
"ENSG00000001461",0,0.565628588377072,1.92612325440238,2.18675493433877,1.1288128612956,2.21336383940064,0,0,1.92612325440238,0,0.957222379869713,0
"ENSG00000001497",2.40983093835556,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001561",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001617",0,1.13125717675414,0,0.728918311446255,0,0,0,0,0,0,1.43583356980457,0
"ENSG00000001626",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001629",3.61474640753335,0,0.642041084800792,0,0,0,0,0,0,0,0,0
"ENSG00000001630",0.401638489725927,0,0,0,0,0,0,0,0,1.17965293862394,0,0
"ENSG00000001631",0,0,5.13632867840634,2.91567324578502,1.1288128612956,0,0,0,0,0,0,0
"ENSG00000002016",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002330",10.4426007328741,2.26251435350829,8.3465341024103,5.10242818012379,2.25762572259119,2.21336383940064,0,0,1.92612325440238,14.1558352634873,2.39305594967428,0
"ENSG00000002549",8.8360467739704,0,0.642041084800792,0,0,0,0,0,0,0,0,0
"ENSG00000002586",2.00819244862964,0,1.28408216960158,7.28918311446255,0,0,0,3.09668017906223,0,0,0,0.785235763104235
"ENSG00000002587",0,0,1.92612325440238,0,0,0,0,0,0,0,0,0
"ENSG00000002726",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002745",0,0,0,0,0,0,0,0,0,0,0,0
