ENSG_id,Gene_Name,Category
ENSG00000000005,TNMD,lysate_only
ENSG00000000938,FGR,lysate_only
ENSG00000000971,CFH,lysate_only
ENSG00000001626,CFTR,lysate_only
ENSG00000004468,CD38,lysate_only
ENSG00000005001,PRSS22,lysate_only
ENSG00000005379,TSPOAP1,lysate_only
ENSG00000006606,CCL26,lysate_only
ENSG00000006756,ARSD,lysate_only
ENSG00000007129,CEACAM21,lysate_only
ENSG00000007908,SELE,lysate_only
ENSG00000007933,FMO3,lysate_only
ENSG00000008226,DLEC1,lysate_only
ENSG00000008323,PLEKHG6,lysate_only
ENSG00000008438,PGLYRP1,lysate_only
ENSG00000010327,STAB1,lysate_only
ENSG00000010438,PRSS3,lysate_only
ENSG00000010671,BTK,lysate_only
ENSG00000011590,ZBTB32,lysate_only
ENSG00000012124,CD22,lysate_only
ENSG00000013725,CD6,lysate_only
ENSG00000015413,DPEP1,lysate_only
ENSG00000018625,ATP1A2,lysate_only
ENSG00000019102,VSIG2,lysate_only
ENSG00000019582,CD74,lysate_only
ENSG00000021461,CYP3A43,lysate_only
ENSG00000026036,RTEL1-TNFRSF6B,lysate_only
ENSG00000026751,SLAMF7,lysate_only
ENSG00000027644,INSRR,lysate_only
ENSG00000041515,MYO16,lysate_only
ENSG00000042062,RIPOR3,lysate_only
ENSG00000047457,CP,lysate_only
ENSG00000047617,ANO2,lysate_only
ENSG00000047936,ROS1,lysate_only
ENSG00000048462,TNFRSF17,lysate_only
ENSG00000049283,EPN3,lysate_only
ENSG00000049540,ELN,lysate_only
ENSG00000052344,PRSS8,lysate_only
ENSG00000053438,NNAT,lysate_only
ENSG00000054179,ENTPD2,lysate_only
ENSG00000055813,CCDC85A,lysate_only
ENSG00000055955,ITIH4,lysate_only
ENSG00000057468,MSH4,lysate_only
ENSG00000060566,CREB3L3,lysate_only
ENSG00000064201,TSPAN32,lysate_only
ENSG00000064205,CCN5,lysate_only
ENSG00000064835,POU1F1,lysate_only
ENSG00000065618,COL17A1,lysate_only
ENSG00000066032,CTNNA2,lysate_only
ENSG00000067048,DDX3Y,lysate_only
ENSG00000067646,ZFY,lysate_only
ENSG00000067842,ATP2B3,lysate_only
ENSG00000069764,PLA2G10,lysate_only
ENSG00000070019,GUCY2C,lysate_only
ENSG00000070031,SCT,lysate_only
ENSG00000070526,ST6GALNAC1,lysate_only
ENSG00000070601,FRMPD1,lysate_only
ENSG00000070729,CNGB1,lysate_only
ENSG00000072182,ASIC4,lysate_only
ENSG00000072315,TRPC5,lysate_only
ENSG00000073067,CYP2W1,lysate_only
ENSG00000073282,TP63,lysate_only
ENSG00000073598,FNDC8,lysate_only
ENSG00000073737,DHRS9,lysate_only
ENSG00000074276,CDHR2,lysate_only
ENSG00000076344,RGS11,lysate_only
ENSG00000077984,CST7,lysate_only
ENSG00000078579,FGF20,lysate_only
ENSG00000078814,MYH7B,lysate_only
ENSG00000079112,CDH17,lysate_only
ENSG00000079393,DUSP13,lysate_only
ENSG00000080293,SCTR,lysate_only
ENSG00000080573,COL5A3,lysate_only
ENSG00000080618,CPB2,lysate_only
ENSG00000080709,KCNN2,lysate_only
ENSG00000081148,IMPG2,lysate_only
ENSG00000081237,PTPRC,lysate_only
ENSG00000081248,CACNA1S,lysate_only
ENSG00000081818,PCDHB4,lysate_only
ENSG00000082074,FYB1,lysate_only
ENSG00000083454,P2RX5,lysate_only
ENSG00000083814,ZNF671,lysate_only
ENSG00000084110,HAL,lysate_only
ENSG00000084734,GCKR,lysate_only
ENSG00000088320,REM1,lysate_only
ENSG00000088827,SIGLEC1,lysate_only
ENSG00000088882,CPXM1,lysate_only
ENSG00000089116,LHX5,lysate_only
ENSG00000089127,OAS1,lysate_only
ENSG00000089692,LAG3,lysate_only
ENSG00000090339,ICAM1,lysate_only
ENSG00000090382,LYZ,lysate_only
ENSG00000091010,POU4F3,lysate_only
ENSG00000091128,LAMB4,lysate_only
ENSG00000091138,SLC26A3,lysate_only
ENSG00000091592,NLRP1,lysate_only
ENSG00000091831,ESR1,lysate_only
ENSG00000092051,JPH4,lysate_only
ENSG00000092054,MYH7,lysate_only
ENSG00000092295,TGM1,lysate_only
ENSG00000095464,PDE6C,lysate_only
ENSG00000096088,PGC,lysate_only
ENSG00000096395,MLN,lysate_only
ENSG00000096996,IL12RB1,lysate_only
ENSG00000099769,IGFALS,lysate_only
ENSG00000099834,CDHR5,lysate_only
ENSG00000099984,GSTT2,lysate_only
ENSG00000099994,SUSD2,lysate_only
ENSG00000100033,PRODH,lysate_only
ENSG00000100038,TOP3B,lysate_only
ENSG00000100055,CYTH4,lysate_only
ENSG00000100095,SEZ6L,lysate_only
ENSG00000100122,CRYBB1,lysate_only
ENSG00000100146,SOX10,lysate_only
ENSG00000100156,SLC16A8,lysate_only
ENSG00000100170,SLC5A1,lysate_only
ENSG00000100191,SLC5A4,lysate_only
ENSG00000100253,MIOX,lysate_only
ENSG00000100285,NEFH,lysate_only
ENSG00000100288,CHKB,lysate_only
ENSG00000100312,ACR,lysate_only
ENSG00000100341,PNPLA5,lysate_only
ENSG00000100368,CSF2RB,lysate_only
ENSG00000100385,IL2RB,lysate_only
ENSG00000100399,CHADL,lysate_only
ENSG00000100433,KCNK10,lysate_only
ENSG00000100453,GZMB,lysate_only
ENSG00000100593,ISM2,lysate_only
ENSG00000101049,SGK2,lysate_only
