sample_num,length_bin,pair_index,pearson_r,spearman_r
1,0-999,1,0.4377147695365178,0.6600869606998403
1,0-999,2,0.38621488186308994,0.6288992669594218
1,0-999,3,0.448205783398963,0.6701799890121907
1,1000-1999,1,0.5103517358610976,0.5652351675351381
1,1000-1999,2,0.4800425178490393,0.538723598348747
1,1000-1999,3,0.5181278194652718,0.5609784321368846
1,2000-2999,1,0.5541794857044444,0.4613705687769437
1,2000-2999,2,0.4691289222879738,0.4205918283245167
1,2000-2999,3,0.5192180424288282,0.4493865013392616
1,3000-3999,1,0.48211986483990477,0.426790993358165
1,3000-3999,2,0.41464955176365875,0.38399645104830415
1,3000-3999,3,0.4404275899395607,0.3904285382302808
1,4000-4999,1,0.4404400452823222,0.4178421809166985
1,4000-4999,2,0.47189813502596656,0.3676555359689639
1,4000-4999,3,0.4499212480438738,0.3742611784883634
1,5000+,1,0.5249821999790146,0.38287463289594437
1,5000+,2,0.4261399354729597,0.33992049991430023
1,5000+,3,0.46475917562217817,0.3813857255211891
3,0-999,1,0.24396906101222987,0.6918853252884185
3,0-999,2,0.49728166020261244,0.673818792393223
3,1000-1999,1,0.5411416178859657,0.6143381724376111
3,1000-1999,2,0.5757989713367887,0.5797727761688255
3,2000-2999,1,0.5324479293091627,0.4652313225836934
3,2000-2999,2,0.5278073883134485,0.40306633548056586
3,3000-3999,1,0.397638891501077,0.35032419083539595
3,3000-3999,2,0.30001117064674865,0.32066822820510393
3,4000-4999,1,0.6030849941967864,0.2777057889617365
3,4000-4999,2,0.48509090312520686,0.25397263723246055
3,5000+,1,0.3091004377658541,0.29173851495347103
3,5000+,2,0.2558809324218584,0.22510943893930602
5,0-999,1,0.310592841017078,0.6777452597202512
5,0-999,2,0.3784600001507545,0.6704374442645802
5,0-999,3,0.39851277434454463,0.6901979732692641
5,1000-1999,1,0.5089232844672306,0.6003922773641557
5,1000-1999,2,0.5875062615909707,0.5987449882046345
5,1000-1999,3,0.5645073013136214,0.6170413327469932
5,2000-2999,1,0.5024898658456628,0.48135364273625225
5,2000-2999,2,0.47629660510347693,0.461905607713115
5,2000-2999,3,0.544607642763106,0.5012886761840177
5,3000-3999,1,0.4309208125275032,0.4470586685348876
5,3000-3999,2,0.37029133534239783,0.4180146880094765
5,3000-3999,3,0.4211854667741727,0.4334208086025432
5,4000-4999,1,0.5125060331863757,0.38602114399809495
5,4000-4999,2,0.5395824914927172,0.32558641138134736
5,4000-4999,3,0.5683361747872582,0.35808936696514426
5,5000+,1,0.5030781988699614,0.41248797173175633
5,5000+,2,0.3819891824467606,0.3643502377849611
5,5000+,3,0.5572939699141776,0.3938303143790392
6,0-999,1,0.5261500369323231,0.30977370208183375
6,0-999,2,0.19226839376421767,0.4362237415824214
6,0-999,3,0.19499075490135934,0.1729176137032267
6,1000-1999,1,0.13246079497731866,0.15940862566704575
6,1000-1999,2,0.12273884959634707,0.12186160440906307
6,1000-1999,3,0.10424193039249427,0.18838246872539585
6,2000-2999,1,0.781138422653264,0.8060606060606059
6,2000-2999,2,0.7684295007470319,0.6727272727272726
6,2000-2999,3,0.5780549869423948,0.6727272727272726
6,5000+,1,0.9086374525082331,0.5
6,5000+,2,0.9683990912921127,0.5
6,5000+,3,0.6879899576355646,1.0
