sample_num,length_bin,n_transcripts,n_pairwise_correlations,pearson_r_mean,pearson_r_std,pearson_pval_mean,spearman_r_mean,spearman_r_std,spearman_pval_mean
1,0-999,8016,3,0.4240451449328569,0.027090735758574184,6.057821563447395e-284,0.6530554055571509,0.01757093393634311,0.0
1,1000-1999,5685,3,0.5028406910584695,0.01643034581336547,0.0,0.5549790660069233,0.01162497657781719,0.0
1,2000-2999,2393,3,0.5141754834737488,0.03490434676824039,1.018823453909519e-131,0.4437829661469073,0.017112882539392492,1.0863092230115203e-103
1,3000-3999,959,3,0.44573233551437474,0.027798873248890205,1.2836065203550356e-41,0.4004053275455833,0.018841363302745526,1.6639221892835954e-35
1,4000-4999,490,3,0.4540864761173875,0.013176107069441653,4.0904301515021165e-25,0.38658629845800857,0.022265163664000682,1.6438735589980713e-17
1,5000+,556,3,0.47196043702471746,0.04067220129697112,2.0513628339691096e-26,0.368060286110478,0.019907115757396794,5.556523918566646e-17
2,0-999,9089,3,0.3723754640048053,0.04063240165518955,2.1112812245969364e-244,0.6435123864374591,0.02370215514830804,0.0
2,1000-1999,6409,3,0.5589935038476609,0.005893979463502378,0.0,0.5744716990599845,0.020202663165594482,0.0
2,2000-2999,3070,3,0.5038578734651118,0.0456948959394524,5.6815377073577964e-151,0.4573522933682,0.026282251075831098,6.255664395372177e-133
2,3000-3999,1376,3,0.443806205652103,0.03694229565531711,6.303278057393865e-53,0.3846350281958557,0.02770155923856939,1.997569376399396e-40
2,4000-4999,725,3,0.5472133953967339,0.04694773211710316,9.030129928886309e-46,0.3479293287925234,0.02291218932666365,1.0949844277415354e-19
2,5000+,882,3,0.3912761945167687,0.045533261774303585,6.090446776841384e-27,0.30332577043367087,0.01763785389745188,4.193660479049771e-18
3,0-999,9036,2,0.37062536060742113,,7.127980470473503e-123,0.6828520588408207,,0.0
3,1000-1999,6402,2,0.5584702946113772,,0.0,0.5970554743032184,,0.0
3,2000-2999,2941,2,0.5301276588113056,,5.635041499201444e-211,0.4341488290321296,,1.3044368538394524e-115
3,3000-3999,1282,2,0.34882503107391283,,2.2447430752496223e-28,0.33549620952024994,,2.391540332643989e-32
3,4000-4999,661,2,0.5440879486609966,,1.29186428128944e-40,0.2658392130970985,,1.7401411246257213e-11
3,5000+,702,2,0.2824906850938562,,2.941473888405926e-12,0.2584239769463885,,8.132954798607836e-10
4,0-999,8340,3,0.6319046523692823,0.06094879878079258,0.0,0.6391707813011228,0.04812593458769315,0.0
4,1000-1999,5767,3,0.49084913511503087,0.02522624042100642,9.398176e-318,0.587541025242372,0.05085467521838978,0.0
4,2000-2999,2469,3,0.5176921069353234,0.04078626880913694,4.4023650813572246e-131,0.48263746847233685,0.04529004463912663,3.123544481672795e-114
4,3000-3999,1021,3,0.4615694847216048,0.025591613537547315,1.906710716193435e-50,0.459672166016971,0.0407986264885142,2.9440256088045393e-44
4,4000-4999,537,3,0.5420769811198349,0.018398468168991017,8.61849255905877e-39,0.41436627479205906,0.03344282650374483,8.962352811144045e-21
4,5000+,566,3,0.3821604974599471,0.019675931260560272,1.1240540012714256e-19,0.3612880763406629,0.0456119809316908,1.3068742476911075e-14
5,0-999,8365,3,0.36252187183745904,0.03762088621740895,5.61085784633581e-187,0.6794602257513652,0.008157837050025164,0.0
5,1000-1999,6502,3,0.5536456157906077,0.03298790922654545,0.0,0.6053928661052611,0.00826411809053364,0.0
5,2000-2999,3018,3,0.507798037904082,0.028139319874334233,3.171670684960014e-171,0.48151597554446174,0.016078480120986123,7.126962993489837e-160
5,3000-3999,1234,3,0.4074658715480246,0.02658513175707821,7.169423078570671e-42,0.43283138838230245,0.011864478169087665,7.546490369899957e-54
5,4000-4999,636,3,0.5401415664887838,0.0227959879720397,2.3027440259959307e-44,0.3565656407815288,0.02469589078809698,1.1980726385191689e-17
5,5000+,735,3,0.4807871170769665,0.0732830647688607,2.0030383013868556e-27,0.39022284129858553,0.019817008753471657,5.708704743716908e-25
6,0-999,99,3,0.3044697285326334,0.15675558929253827,0.03655858117923486,0.3063050191224939,0.10752225526462887,0.02959616444526632
6,1000-1999,70,3,0.11981385832205334,0.011704493726205759,0.3254057418038612,0.1565508996005016,0.027232104779121077,0.20690555875198055
6,2000-2999,10,3,0.7092076367808969,0.09288395033140455,0.032368685931647524,0.7171717171717171,0.06285393610547088,0.023648168730946665
6,3000-3999,1,0,,,,,,
6,4000-4999,0,0,,,,,,
6,5000+,3,3,0.85500883381197,0.12059392499059489,0.3172348483186381,0.6666666666666666,0.23570226039551584,0.4444444444444445
7,0-999,373,3,0.40065145486358733,0.10676456129333867,1.1251757968359536e-07,0.4097553472771959,0.0688981324968242,1.7567702473398158e-11
7,1000-1999,240,3,0.39773568031112005,0.10307811667905933,1.5027771092748003e-06,0.4668072941081152,0.08118394243843399,6.429692335713792e-11
7,2000-2999,68,3,0.6657738251478676,0.05107097074482751,9.567100091892885e-09,0.5703706531282208,0.09790513613939092,7.819251622814535e-05
7,3000-3999,23,3,0.5563564487836773,0.024385398723021364,0.006291777887979501,0.4496762113433154,0.10765219777200154,0.06079983122313629
7,4000-4999,14,3,0.6408588584705869,0.14794946984809143,0.04243604925839772,0.3978021978021978,0.15073783032511864,0.21952301490390558
7,5000+,13,3,0.09016260711849962,0.246902034269862,0.5367116739382831,0.1703296703296703,0.19937308660327144,0.6153018288961221
