pathway,sum_pval,sum_rank,n_timepoints,n_significant,mean_NES,rank_by_sum_pval,rank_by_sum_rank
SWEET_LUNG_CANCER_KRAS_DN,0.15668289165303143,264.0,10,2,-0.275189917790373,1.0,1.0
AFFAR_YY1_TARGETS_UP,0.6252042324887775,595.0,10,2,-0.15918856891141883,3.0,2.0
KEGG_DILATED_CARDIOMYOPATHY,0.5810183731640474,605.0,10,5,-0.24951835706162698,2.0,3.0
REACTOME_MUSCLE_CONTRACTION,0.784269605021178,609.0,10,7,-0.3049330952682123,5.0,4.0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.6521106614312996,630.0,10,4,-0.2706270393819775,4.0,5.0
HOUNKPE_HOUSEKEEPING_GENES,0.9661789624925534,1025.0,10,1,0.002848644619835983,6.0,6.0
BENPORATH_CYCLING_GENES,1.685675407103219,1424.0,10,0,-0.144733329046158,7.0,7.0
MARTINEZ_RB1_AND_TP53_TARGETS_DN,1.7582160133969802,1608.0,9,0,0.1262172623506869,9.0,8.0
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN,1.8290250175389295,1660.0,10,1,-0.193472353296128,10.0,9.0
DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP,2.057038924681065,1728.0,10,0,-0.1775873588906857,12.0,10.0
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,2.110625776400379,1768.0,10,3,-0.2681940335364766,14.0,11.0
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,2.110625776400379,1768.0,10,3,-0.2681940335364766,14.0,11.0
WONG_EMBRYONIC_STEM_CELL_CORE,1.972776236482626,1779.0,10,0,0.1707990715445129,11.0,13.0
GRADE_COLON_AND_RECTAL_CANCER_UP,1.7237170168256108,1783.0,10,0,-0.010194461242691012,8.0,14.0
TSENG_IRS1_TARGETS_DN,2.2231296028611056,1805.0,10,1,-0.27874746505667086,19.0,15.0
TIEN_INTESTINE_PROBIOTICS_24HR_UP,2.067037746574992,1813.0,10,0,-0.12877294134839232,13.0,16.0
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP,2.1902263496228915,1815.0,10,1,-0.2180352113281229,17.0,17.0
GOLDRATH_HOMEOSTATIC_PROLIFERATION,2.2424225881673254,1881.0,10,0,0.024500212687246427,22.0,18.0
MARTINEZ_RB1_TARGETS_DN,2.4609523855690503,1923.0,9,0,-0.16680144884116727,33.0,19.0
MARTINEZ_RESPONSE_TO_TRABECTEDIN_DN,2.1578754031684837,1931.0,10,0,0.2824560672667002,16.0,20.0
FEVR_CTNNB1_TARGETS_DN,2.232358090438184,1944.0,10,0,-0.14509960524628415,20.0,21.0
ZHENG_BOUND_BY_FOXP3,2.2224305025769286,1946.0,10,0,-0.01626056693619382,18.0,22.0
MA_RAT_AGING_DN,2.405023771948264,1955.0,10,0,-0.20611242263295687,28.0,23.0
WP_MRNA_PROCESSING,2.237615443623262,1992.0,10,1,-0.14993471865688848,21.0,24.0
REACTOME_NEDDYLATION,2.378026068748724,2007.0,10,0,-0.16349157152739988,25.0,25.0
PULVER_FOREY_CELLCYCLE_PEAKING_G1_S,2.278784175074721,2017.0,10,0,-0.13727136909974003,23.0,26.0
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,2.643338138511604,2052.0,9,3,-0.09371147557744325,38.0,27.0
WP_MESODERMAL_COMMITMENT_PATHWAY,2.3162165769609944,2057.0,10,1,0.0006487274910999208,24.0,28.0
PECE_MAMMARY_STEM_CELL_UP,2.7388923616130727,2062.0,10,1,0.11767279619136677,47.0,29.0
FUJII_YBX1_TARGETS_DN,2.4072584630372735,2088.0,10,0,-0.13323494058129007,29.0,30.0
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP,2.443831615157717,2099.0,10,0,0.02369653899409587,30.0,31.0
REACTOME_MRNA_SPLICING,2.452053941470249,2099.0,10,0,0.06060672867416239,31.0,31.0
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP,2.5851910600852688,2109.0,10,0,0.17715146387991318,36.0,33.0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,2.3899795335811542,2113.0,10,0,-0.011128104456016707,26.0,34.0
NUYTTEN_EZH2_TARGETS_DN,2.396257727285595,2114.0,10,0,0.006239999240199068,27.0,35.0
LU_EZH2_TARGETS_UP,2.486839467355222,2121.0,10,0,-0.025656071059059392,34.0,36.0
WANG_CLIM2_TARGETS_UP,2.4547805674720267,2131.0,10,0,-0.0504262339978502,32.0,37.0
KRIEG_HYPOXIA_NOT_VIA_KDM3A,2.490898673027169,2152.0,10,0,-0.02634719373103902,35.0,38.0
UDAYAKUMAR_MED1_TARGETS_DN,2.713815612371414,2165.0,10,0,0.1727287562116292,46.0,39.0
REACTOME_ESR_MEDIATED_SIGNALING,2.66077757282848,2182.0,10,0,-0.0943839382878279,42.0,40.0
PAL_PRMT5_TARGETS_UP,2.7011803739676603,2184.0,10,0,0.022714819985315503,45.0,41.0
