pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,3.053301404529627e-38,8.309702821788456e-38,2.20141699559096e-10,10,7,-0.2678329243874399,1.5999299359735246e-35
REACTOME_MUSCLE_CONTRACTION,1.3374595246200124e-33,1.0374939292034289e-32,2.27754667189908e-08,10,8,-0.2964545173318971,3.5041439545044325e-31
SWEET_LUNG_CANCER_KRAS_DN,2.4931081448323943e-20,2.2869405136968586e-22,6.91127317105931e-06,10,4,-0.24939456026071488,4.3546288929739156e-18
AFFAR_YY1_TARGETS_UP,2.953933304154057e-12,3.7849786509121615e-13,8.91915202421903e-05,10,2,-0.06611824623642786,3.869652628441815e-10
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP,6.491034378280375e-11,1.5772762690706676e-09,1.42373332265366e-06,10,2,-0.3602610077671526,6.802604028437833e-09
PECE_MAMMARY_STEM_CELL_UP,2.125828117379397e-09,9.95653486290631e-09,2.84605866963305e-06,10,1,-0.10894189435597743,1.8565565558446732e-07
ENK_UV_RESPONSE_KERATINOCYTE_UP,3.649238882079523e-09,1.231404760756018e-06,2.19032549693735e-05,8,2,-0.2892512795339919,2.731715963156672e-07
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1.9175850856571907e-07,8.73541101937471e-05,2.58577870199233e-05,10,2,-0.24885998392268802,1.25601823110546e-05
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.4712068748619284e-07,0.00030314198204569264,8.9100347083903e-06,10,2,-0.17628536036697642,1.438791558252945e-05
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP,4.867469225739204e-07,1.2894640722529678e-05,0.00021700692865,10,1,-0.2314544446032755,2.5505538742873427e-05
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.2957586364393476e-06,0.0017501682545484835,4.29285176972124e-05,10,2,-0.23336410301103783,6.172522959038347e-05
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,4.235218026032943e-06,0.011914572072586612,0.0001036393810638,10,2,-0.20657762918806605,0.00018493785380343852
KEGG_RIBOSOME,6.2717380271255205e-06,0.014590228217646866,8.29313883534783e-05,10,2,-0.20629180729647908,0.0002053994203883608
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,6.2717380271255205e-06,0.014590228217646866,8.29313883534783e-05,10,2,-0.20629180729647908,0.0002053994203883608
REACTOME_SELENOAMINO_ACID_METABOLISM,6.2717380271255205e-06,0.014590228217646866,8.29313883534783e-05,10,2,-0.20629180729647908,0.0002053994203883608
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,6.2717380271255205e-06,0.014590228217646866,8.29313883534783e-05,10,2,-0.20629180729647908,0.0002053994203883608
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,2.8746734703851748e-05,0.024911715051875536,2.77865835740834e-05,9,1,-0.020541385994474835,0.0008860758226363716
REACTOME_NEDDYLATION,3.834487237206755e-05,4.332423540669078e-06,0.0068822578167979,10,0,0.037347996034733065,0.0010226483495624143
MA_RAT_AGING_DN,3.8770599786431773e-05,0.00010653269534872092,0.0004271528501485,10,1,-0.17401849241198625,0.0010226483495624143
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP,3.97179681039641e-05,0.00022937782637277913,0.0005030022350478,10,1,-0.12744640499889492,0.0010226483495624143
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,4.098399874200515e-05,1.0,0.0003566939108214,10,2,-0.12052246959238086,0.0010226483495624143
HSIAO_HOUSEKEEPING_GENES,4.5414232380093815e-05,0.005739104619775547,2.99441603528723e-05,10,1,-0.11012043970272507,0.0010816844439622345
MARTINEZ_RB1_TARGETS_DN,8.203869725712181e-05,0.00011241966711071028,0.0037351534977935,10,0,-0.09567618694510394,0.0018690555375100795
JIANG_MELANOMA_TRM8_CD4,9.003143630182649e-05,0.02000454943998895,0.0001826553127593,10,2,-0.10593048565403632,0.001965686359256545
MARTINEZ_RB1_AND_TP53_TARGETS_DN,0.0001305386173585658,0.00015952734830618732,0.0037771301200749,10,0,-0.04098710849448155,0.002736089419835539
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0.00020002576355047192,0.0442806846485763,8.11351086491563e-05,10,2,-0.20503870495764104,0.004031288465401819
IBRAHIM_NRF1_UP,0.00021030812705832047,0.011858988085508509,0.0009606450662944,10,0,-0.31173151236222496,0.004081535502909627
REACTOME_INFLUENZA_INFECTION,0.00033981301185420426,0.001573361552356654,0.0003319503455847,9,2,-0.15861412407465675,0.006359357793271537
PASINI_SUZ12_TARGETS_DN,0.00040942157686937647,0.006105963298429098,0.0001298639597206,9,1,0.19877344203979738,0.00739452062693066
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0.000423350417572366,0.01323502398133464,0.0007968394465227,10,2,-0.2397982088576663,0.00739452062693066
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.0004708266169858337,0.005082486930541561,9.51946638663235e-05,10,1,-0.0679939255690187,0.007958488622599253
HOUNKPE_HOUSEKEEPING_GENES,0.0005512106186352115,0.00018282874408332426,0.0072556289108622,10,0,-0.020150256998520754,0.00902607388015159
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP,0.0005687963178387792,0.03666912920273943,0.0004263790779187,10,1,0.1206933992438461,0.009031796077197585
LIU_PROSTATE_CANCER_DN,0.0011005072340897427,0.0031001792498802105,0.0026302213082085,10,0,0.10394314739576145,0.01675826390250691
PAL_PRMT5_TARGETS_UP,0.0011193496881445454,0.0006737732138528831,0.0081030444389552,10,0,0.16330119326177434,0.01675826390250691
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,0.0013211303817321034,0.022710044921431756,0.000174462237887,10,1,0.102344515149835,0.019096028818202177
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,0.0013483837142623677,0.010207421973618487,0.0006314110504008,10,1,-0.027124435251662592,0.019096028818202177
LIM_MAMMARY_STEM_CELL_DN,0.0018922466697010663,0.005065480332595861,0.0041879570511451,10,0,0.20269406785889985,0.025543028842786145
WANG_CLIM2_TARGETS_UP,0.0019011032917340834,0.0011158107470472971,0.014095115612328,10,0,-0.21967825186868203,0.025543028842786145
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN,0.002051007308876738,0.000584192264706508,0.0072113104724937,10,0,-0.16600549089158245,0.026868195746285267
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,0.002367344794934291,0.05688356710160826,0.0033195026049631,10,0,-0.09391420517077143,0.03025582128159923
PULVER_FOREY_CELLCYCLE_PEAKING_G1_S,0.0025787906199875284,0.0007384550741993989,0.0072116280358104,10,0,-0.14101871195921095,0.032173482973177736
NUYTTEN_NIPP1_TARGETS_UP,0.0026811348243587665,0.0006744644925522421,0.0049776686815801,10,0,0.2033107245678986,0.03267243367358125
REACTOME_METABOLISM_OF_RNA,0.0029457170784728108,0.008400879265913543,0.0010394174565461,10,1,-0.12039443606110774,0.03508081247999438
GRADE_COLON_AND_RECTAL_CANCER_UP,0.003516002875226348,0.0003316832937042318,0.0282258064516129,10,0,0.025842205260057004,0.040941900147080136
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN,0.003728123221493862,0.0008768973222695657,0.0215210642817956,10,0,0.017435683967924942,0.042468186262234434
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,0.003907805982969989,0.002708717223710045,0.0099367726251774,10,0,0.011857385217503614,0.04303274013987507
PEREZ_TP53_TARGETS,0.003985913878917263,0.0017555666308112666,0.0024475181535547,10,0,-0.22039696585224416,0.04303274013987507
PULVER_FOREY_PERTURB_ACCUMULATION_LG1,0.0040240539443776304,0.023197973993463832,0.0010882457327035,10,0,-0.08873184813085946,0.04303274013987507
REACTOME_CELL_CYCLE_MITOTIC,0.004370067638130735,0.0011980401160982144,0.0034272277157381,10,0,-0.1796300811029864,0.04550237227766721
JOHNSTONE_PARVB_TARGETS_2_UP,0.004499719307426903,0.049816174584189854,0.0047493836429018,10,0,0.039100414143884724,0.04550237227766721
REACTOME_TRANSLATION,0.004590294195326362,0.11394179986510528,0.0004547292101985,10,2,-0.01457593760432303,0.04550237227766721
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP,0.004602339180756416,0.0032333393639238915,0.0021708599050631,10,0,-0.2517492385415938,0.04550237227766721
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,0.005177323722593002,0.01509789141332443,0.0068975406512014,10,0,-0.38577482705545785,0.04991669045918822
PUJANA_ATM_PCC_NETWORK,0.005239347281021664,0.06912584170735628,0.0028618113898603,10,0,-0.1196488110496676,0.04991669045918822
WONG_EMBRYONIC_STEM_CELL_CORE,0.005344303112094766,0.004134651616132902,0.0054348614813645,10,0,0.01581719850258767,0.05000740769174388
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0.006055756440791907,0.0037336339575265655,0.0059378185301249,10,0,0.030477518979815786,0.055670462718858935
FEVR_CTNNB1_TARGETS_DN,0.006749443022736621,0.0012351080349345968,0.0283768444948922,10,0,-0.010888502986867743,0.060553477974776795
REACTOME_CELL_CYCLE,0.006818044275785936,0.005447333484449336,0.00374943425837,10,0,-0.19049888912092733,0.060553477974776795
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN,0.007026493417263642,0.009548877559463492,0.0071140284077034,10,0,0.10709370259844542,0.06087115342194747
CHANDRAN_METASTASIS_UP,0.007115098838224288,0.014501718845538096,0.000376979536137,10,1,-0.00033614375139476846,0.06087115342194747
PULVER_FOREY_PERTURB_ATTRITION_M_EG1,0.007202312046108288,0.010068973462348222,0.0246776455392723,10,0,0.03350876409714034,0.06087115342194747
JIANG_MELANOMA_TRM3_CD8,0.007854543065391146,0.031387100752642255,0.0006977145876073,10,1,-0.08388356620691552,0.06532985025817398
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN,0.008104348210691103,0.09858568588407757,0.0001989543099898,10,1,0.10417162144108989,0.06635435097503341
JISON_SICKLE_CELL_DISEASE_DN,0.008700836723248936,0.012612549545566966,0.0031042799303193,10,0,-0.1843471280429127,0.07014212989203758
