pathway,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,stouffer_padj
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,8.309702821788456e-38,2.20141699559096e-10,10,7,-0.2678329243874399,4.354284278617151e-35
REACTOME_MUSCLE_CONTRACTION,1.0374939292034289e-32,2.27754667189908e-08,10,8,-0.2964545173318971,2.7182340945129837e-30
SWEET_LUNG_CANCER_KRAS_DN,2.2869405136968586e-22,6.91127317105931e-06,10,4,-0.24939456026071488,3.994522763923846e-20
AFFAR_YY1_TARGETS_UP,3.7849786509121615e-13,8.91915202421903e-05,10,2,-0.06611824623642786,4.958322032694932e-11
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP,1.5772762690706676e-09,1.42373332265366e-06,10,2,-0.3602610077671526,1.6529855299860597e-07
PECE_MAMMARY_STEM_CELL_UP,9.95653486290631e-09,2.84605866963305e-06,10,1,-0.10894189435597743,8.695373780271511e-07
ENK_UV_RESPONSE_KERATINOCYTE_UP,1.231404760756018e-06,2.19032549693735e-05,8,2,-0.2892512795339919,9.217944209087907e-05
REACTOME_NEDDYLATION,4.332423540669078e-06,0.0068822578167979,10,0,0.037347996034733065,0.0002837737419138246
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP,1.2894640722529678e-05,0.00021700692865,10,1,-0.2314544446032755,0.000750754637622839
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,8.73541101937471e-05,2.58577870199233e-05,10,2,-0.24885998392268802,0.004577355374152348
MA_RAT_AGING_DN,0.00010653269534872092,0.0004271528501485,10,1,-0.17401849241198625,0.004908992130501015
MARTINEZ_RB1_TARGETS_DN,0.00011241966711071028,0.0037351534977935,10,0,-0.09567618694510394,0.004908992130501015
MARTINEZ_RB1_AND_TP53_TARGETS_DN,0.00015952734830618732,0.0037771301200749,10,0,-0.04098710849448155,0.0064301792701878585
HOUNKPE_HOUSEKEEPING_GENES,0.00018282874408332426,0.0072556289108622,10,0,-0.020150256998520754,0.006843018707118708
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP,0.00022937782637277913,0.0005030022350478,10,1,-0.12744640499889492,0.00801293206795575
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,0.00030314198204569264,8.9100347083903e-06,10,2,-0.17628536036697642,0.009927899911996434
GRADE_COLON_AND_RECTAL_CANCER_UP,0.0003316832937042318,0.0282258064516129,10,0,0.025842205260057004,0.010223649758883381
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN,0.000584192264706508,0.0072113104724937,10,0,-0.16600549089158245,0.01700648592812279
PAL_PRMT5_TARGETS_UP,0.0006737732138528831,0.0081030444389552,10,0,0.16330119326177434,0.01767096970486874
NUYTTEN_NIPP1_TARGETS_UP,0.0006744644925522421,0.0049776686815801,10,0,0.2033107245678986,0.01767096970486874
PULVER_FOREY_CELLCYCLE_PEAKING_G1_S,0.0007384550741993989,0.0072116280358104,10,0,-0.14101871195921095,0.018426212327642143
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN,0.0008768973222695657,0.0215210642817956,10,0,0.017435683967924942,0.020886099857693293
WANG_CLIM2_TARGETS_UP,0.0011158107470472971,0.014095115612328,10,0,-0.21967825186868203,0.0254210796283819
REACTOME_CELL_CYCLE_MITOTIC,0.0011980401160982144,0.0034272277157381,10,0,-0.1796300811029864,0.025887864412229147
FEVR_CTNNB1_TARGETS_DN,0.0012351080349345968,0.0283768444948922,10,0,-0.010888502986867743,0.025887864412229147
REACTOME_INFLUENZA_INFECTION,0.001573361552356654,0.0003319503455847,9,2,-0.15861412407465675,0.031709286670572566
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,0.0017501682545484835,4.29285176972124e-05,10,2,-0.23336410301103783,0.03285417551946799
PEREZ_TP53_TARGETS,0.0017555666308112666,0.0024475181535547,10,0,-0.22039696585224416,0.03285417551946799
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,0.002708717223710045,0.0099367726251774,10,0,0.011857385217503614,0.04894371811117461
LIU_PROSTATE_CANCER_DN,0.0031001792498802105,0.0026302213082085,10,0,0.10394314739576145,0.054149797564574345
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP,0.0032333393639238915,0.0021708599050631,10,0,-0.2517492385415938,0.054653865377294164
PULVER_FOREY_PERTURB_ACCUMULATION_G1_S,0.003582123200433602,0.0196851458726438,10,0,-0.17974923149703806,0.05772360219513418
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0.0037336339575265655,0.0059378185301249,10,0,0.030477518979815786,0.05772360219513418
LEE_BMP2_TARGETS_DN,0.003745424569913286,0.0408163265306122,10,0,0.1816244188958856,0.05772360219513418
UDAYAKUMAR_MED1_TARGETS_DN,0.0038590101726690656,0.0110614235810495,10,0,0.17788433731592815,0.057774895156531156
LOPEZ_MBD_TARGETS,0.004066565695085121,0.0148650234326623,10,0,-0.06888809147286024,0.058555606671720016
WONG_EMBRYONIC_STEM_CELL_CORE,0.004134651616132902,0.0054348614813645,10,0,0.01581719850258767,0.058555606671720016
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP,0.004724803046726585,0.0426997245179063,10,0,0.1834861499405147,0.06495666223423849
