pathway,pval,padj,log2err,ES,NES,size,leadingEdge,timepoint
GOCC_CONTRACTILE_MUSCLE_FIBER,3.9379527402706e-09,3.21336943606081e-06,0.761460801445585,-0.700403838332385,-2.73382258435372,33,KRT8|KRT19|FLNC|ACTC1|LDB3|ANKRD1|JUP|MYL3|TPM2|MYL7|PDLIM5|MYH6|TNNC1|GGPS1|FLNA|MYL4|TPM1,0
GOCC_I_BAND,7.2182680495227e-08,2.94505336420526e-05,0.704975715167238,-0.840316751409743,-2.61388017287656,16,KRT8|KRT19|FLNC|ACTC1|LDB3|ANKRD1|JUP|MYL3|PDLIM5|MYH6|GGPS1|FLNA,0
GOCC_SUPRAMOLECULAR_POLYMER,7.12284275792847e-06,0.0019374132301565,0.610526878385931,-0.451894869625567,-2.03497054592764,71,KRT8|KRT19|FLNC|ACTC1|LDB3|ANKRD1|JUP|MYL3|TUBA1A|TPM2|MYL7|KRT18|KRT7|PDLIM5|MYH6|TNNC1|GGPS1|FLNA|GABARAP|MYL4|VIM|TPM1|TUBA1B,0
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,3.09322577604616e-05,0.0063101805831341,0.557332238758646,-0.650955460466847,-2.26371558131012,23,KRT19|FLNC|ACTC1|LDB3|ANKRD1|IRX3|PDLIM5|MYH6|IGF2|MYLK3|TPM1|MESP1,0
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,5.0947023895565e-05,0.0083145542997562,0.557332238758646,-0.724521127284941,-2.18053936118328,15,KRT19|FLNC|ACTC1|LDB3|ANKRD1|MYH6|MYLK3|TPM1,0
GOBP_MUSCLE_CELL_DIFFERENTIATION,7.68213622476044e-05,0.0099219610717372,0.538434096309916,-0.584816504683976,-2.1819199555042,29,KRT19|FLNC|ACTC1|LDB3|ANKRD1|IRX3|PDLIM5|MYH6|IGF2|MYLK3|APLNR|TPM1|MESP1,0
GOCC_ADHERENS_JUNCTION,9.69603406441113e-05,0.0099219610717372,0.538434096309916,-0.704277462365015,-2.11961345231721,15,S100A11|LDB3|JUP|KRT18|PPP1CA|PDLIM5,0
GOBP_MUSCLE_CELL_DEVELOPMENT,9.72741281542865e-05,0.0099219610717372,0.538434096309916,-0.676792005969462,-2.16659033370848,18,KRT19|FLNC|ACTC1|LDB3|ANKRD1|PDLIM5|MYH6|MYLK3|TPM1,0
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,0.0001101454845738,0.0099865239346974,0.538434096309916,0.731416961975086,2.02507879047292,15,TIMM17B|TIMM17A|TOMM22|TIMM10B|TIMM13|BCAP31|HPS4|GFER|TOMM5|TOMM7,0
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.0001929776834525,0.015091924197425,0.518848077743792,0.693778521262988,1.94861708077739,17,TIMM17B|TIMM17A|TOMM22|TIMM10B|TIMM13|BCAP31|HPS4|GFER|TOMM5|TOMM7,0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.0002034450565829,0.015091924197425,0.518848077743792,0.537760893777811,1.85125793792815,43,NABP2|POM121C|TIMM17B|TIMM17A|TOMM22|TIMM10B|EI24|TIMM13|BCAP31|HPS4|GFER|VPS37B|RAN|HSPA8|TOMM5|TOMM7|ELAVL1|SGTA,0
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,0.0002445840874692,0.0166317179479083,0.49849310876659,-0.443817057445497,-1.91691350703166,50,KRT19|FLNC|ACTC1|LDB3|ANKRD1|MYL3|IRX3|PDLIM5|MYH6|ZFP36L1|IGF2|TNNC1|TGFB2|MYLK3|APLNR|TPM1|MESP1,0
GOBP_PROTEIN_TARGETING,0.0003240259135386,0.0203388573421175,0.49849310876659,0.571443880269002,1.83661476367103,31,TIMM17B|HRAS|TIMM17A|TOMM22|TIMM10B|STXBP4|MIEF1|TIMM13|BCAP31|HPS4|GFER|VPS37B|HSPA8|TOMM5|TOMM7|SGTA,0
GOBP_REGULATION_OF_BLOOD_CIRCULATION,0.0003495111326706,0.020371506018519,0.49849310876659,-0.672068224075214,-2.09052812856992,16,JUP|MYL3|IRX3|MYH6|TBXA2R|TGFB2|FLNA|MYL4|TPM1,0
GOBP_REGULATION_OF_HEART_CONTRACTION,0.0004941746051837,0.0268830985219939,0.477270815362862,-0.653830899633959,-1.96778804443202,15,JUP|MYL3|IRX3|MYH6|TGFB2|FLNA|MYL4|TPM1,0
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,0.0008165103747841,0.0416420291139927,0.477270815362862,0.604788715465908,1.84431108242098,25,NABP2|CDT1|BRD4|TCF3|BRCA1|STXBP4|CCND1|EIF2AK4|SMARCA4,0
GOBP_HEART_PROCESS,0.0010602812011213,0.0489760050929946,0.45505986738723,-0.568614062569067,-1.97737109735053,23,ACTC1|JUP|MYL3|IRX3|MYL7|MYH6|TNNC1|TGFB2|FLNA|MYL4|TPM1,0
GOBP_CIRCULATORY_SYSTEM_PROCESS,0.0011190202746932,0.0489760050929946,0.45505986738723,-0.467872075123249,-1.86291946026611,37,SLC2A3|ACTC1|JUP|MYL3|IRX3|MYL7|MYH6|TNNC1|TBXA2R|TGFB2|FLNA|APOE|MYL4|TPM1,0
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.0011403726676064,0.0489760050929946,0.45505986738723,-0.583810884943567,-1.94325892316731,20,KRT19|FLNC|ACTC1|LDB3|ANKRD1|MYH6|MYLK3|TPM1,0
