pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	3.72827357332535e-06	0.00260233495418109	0.627256739718528	-0.60722336294015	-2.37452076643455	35	SLC2A3|CCBE1|SEPTIN11|FN1|RHOB|FAM89A|PDLIM5|RHOBTB3|SAT1|GLIPR2|APOE|VIM|APLNR|GRK3|RAB31|PHLDA1|GNB4|RASGRP3|ATP8A2|SERPING1	0
PASINI_SUZ12_TARGETS_DN	9.03402457695679e-06	0.00315287457735792	0.593325476396405	-0.541915001576098	-2.23696001583575	43	KRT8|KRT19|FLNC|ACTC1|TUBA1A|TPM2|FN1|KRT18|CD151|RHOB|PDLIM5|LRATD2|RHOBTB3|TGFB2|GLIPR2|FLNA|VIM|MYADM|TPM1|PHLDA1	0
HOUNKPE_HOUSEKEEPING_GENES	3.14023745910603e-05	0.00730628582152002	0.557332238758646	0.418621036510462	1.73656336725729	148	E2F4|RPL22|BRD4|G3BP1|TIMM17B|ELOF1|TXN2|POP7|TIMM17A|NOSIP|YKT6|BAZ1B|GNB1|UBE2Z|SENP5|MRTO4|TOMM22|UBE2F|CGGBP1|GOSR2|CAND1|MIEF1|SSU72|KCMF1|PDCD7|U2AF1|BCAP31|NUS1|RBX1|MRPS10|PSMB2|EMC3|NCL|ELAVL1|LARP1|USP22|MRPL57|FAM168B|EIF4A1|COA3|KXD1|TAF10|SGTA|YY1|EIF3M|BZW1|SRSF9|EGLN2|SFPQ|MAU2|PAFAH1B2|SRSF1|SLC25A3|HINT1|MRPS16|RANGAP1|TBK1|RPS19BP1|CNBP|RPL15|RRP7A|CCNI|PIN1|PSMA7|ANKLE2|KAT8|RBM8A|ARFGAP2|PAFAH1B1|H2AZ2|RALBP1|PARK7|RPL4	0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	4.83980675721757e-05	0.00844546279134467	0.557332238758646	-0.726698782887455	-2.34685940901703	15	ACTC1|MYL3|TPM2|CACNG5|MYH6|TNNC1|TGFB2|TPM1	0
KEGG_DILATED_CARDIOMYOPATHY	8.56000730873561e-05	0.00950496122498789	0.538434096309916	-0.695391052136328	-2.26137518384045	16	ACTC1|MYL3|TPM2|CACNG5|MYH6|TNNC1|TGFB2|TPM1	0
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	9.50817951412743e-05	0.00950496122498789	0.538434096309916	-0.58421779549157	-2.16305697139585	29	SLC2A3|FLNC|ACTC1|SEPTIN11|TPM2|FN1|KRT18|RHOB|KRT7|PDLIM5|TMPO|TGFB2|APOE|RPS6KA5	0
BRUINS_UVC_RESPONSE_EARLY_LATE	9.53219607090476e-05	0.00950496122498789	0.538434096309916	0.736012396863397	1.98834818227974	15	CDT1|NOSIP|TMEM223|PSMC6|C9orf85|PUM1|KCMF1|VPS37B|RPSA	0
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	0.000113637558102758	0.00991487694446566	0.538434096309916	-0.705737128747526	-2.2791641597538	15	SLC2A3|HOMER3|JUP|TUBA1A|WSB1|PDLIM5|APOE|RPS6KA5	0
PURBEY_TARGETS_OF_CTBP1_AND_SATB1_UP	0.000155455407403141	0.0120564304852658	0.518848077743792	-0.699280777459717	-2.25831350040976	15	SLC2A3|IDH2|TUBA1A|PPP1CA|WSB1|SMIM11|TMEM45A|TBXA2R|RPL34	0
SWEET_LUNG_CANCER_KRAS_DN	0.000738231393914575	0.0515285512952374	0.477270815362862	-0.564284281239073	-2.02346204320605	24	ACTC1|NT5DC2|ANKRD1|MYL3|TUBA1A|MYL7|RHOB|MYH6|TMEM45A|TNNC1	0
REACTOME_S_PHASE	0.000876548735605516	0.0556210015866046	0.477270815362862	0.655404022285263	1.85727380524666	18	E2F4|CDT1|PSMC6|LIN52|CCND1|CKS1B|RBX1|RFC2|PSMB2	0
PULVER_FOREY_PERTURB_ACCUMULATION_LG1	0.00112898084150412	0.0656690522808228	0.45505986738723	0.426042196653492	1.6495627604774	91	WDR5|HMGB3|AGO1|CCT3|TSR2|YKT6|FOXJ3|TMEM223|TOMM22|ARPC5L|GOSR2|SET|GATAD2A|GLUL|TIMM13|PDCD7|BTBD7|MLST8|GFER|PSMB2|RAN|CCNB1IP1|CERK|HSPA8|DYNLL2|ELAVL1|FGFR1|NKIRAS2|TAF10|RPSA|EIF3M|TRNT1|EIF3F|SFPQ|MAU2	0
GRESHOCK_CANCER_COPY_NUMBER_UP	0.00166061239956233	0.0891621119149621	0.45505986738723	0.532581646094825	1.75526709147419	36	RPL22|BRD4|HRAS|TCF3|NRAS|BRCA1|SET|CCND1|CCNB1IP1|FGFR1|SFPQ|SEPTIN9|SPECC1|PAFAH1B2|DEK|CIITA|CCND2|CNBP|VHL	0
GOLDRATH_HOMEOSTATIC_PROLIFERATION	0.00229683386127614	0.114513573940768	0.431707695803346	0.637771359638898	1.78345655371698	17	VOPP1|NME1|EOMES|PSMC6|SET|C9orf85|DYNLL2|IRAK1|TRNT1|SFPQ	0
IBRAHIM_NRF1_UP	0.00275645103824412	0.124228004385932	0.431707695803346	0.455615419766541	1.63659391180884	53	UAP1|CCT3|KIF3B|TIMM17A|LDHB|CCDC43|TYRO3|SET|GATAD2A|PRPF4|KCMF1|PRDX1|CERK|HSPA8|DYNLL2|SYAP1|FGFR1|FAM168B|CELF1|SRSF1|PAPOLA|GTPBP4|TBK1|PHAX|UNKL|TPM3|GAN|PAFAH1B1|GRB2|ISY1|GSTP1	0
AFFAR_YY1_TARGETS_UP	0.00301149636754873	0.124228004385932	0.431707695803346	-0.594262277997856	-1.9191583244459	15	SLC2A3|KRT19|ACTC1|LDB3|ANKRD1|TNNC1|TGFB2|RNF41|TPM1	0
LEE_BMP2_TARGETS_DN	0.00302561042200695	0.124228004385932	0.431707695803346	0.413280130487847	1.59072465791546	83	UAP1|WDR5|CDT1|CCT3|G3BP1|TSR2|TIMM17A|MIS18A|NME1|FASTKD2|MRTO4|UBE2F|BRCA1|SINHCAF|WDR12|KCMF1|AMD1|CKS1B|NUS1|RAN|MRPL20|HSPA8|TOMM5|LARP1|VKORC1L1|BZW1|UTP6|SFPQ|PAFAH1B2|SRSF1|NECAP1|GTPBP4|PDXP	0
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	0.00413360047695517	0.145779206796646	0.407017918923954	0.461754879670567	1.62942665089238	49	PEA15|G3BP1|TCF3|NME1|MRTO4|NDUFAF8|TIMM10B|ARPC5L|SINHCAF|WDR12|NUS1|GLTP|COA3|SOWAHC|SGTA|MRPL52|DUSP6|ORAI1|PLEKHA5|HINT1|MRPS16|RPS19BP1|FSCN1|CCNI|RAB27A	0
PUJANA_BRCA1_PCC_NETWORK	0.0045512747272584	0.145779206796646	0.407017918923954	0.351974648842629	1.47957274883112	163	E2F4|HMGB3|RPL22|CDT1|CCT3|G3BP1|TCF3|TIMM17A|BAZ1B|NME1|LDHB|PSMC6|NRAS|BRCA1|SET|MIEF1|DCAF7|PRPF4|U2AF1|CKS1B|RFC2|SMARCA4|PSMB2|PRDX1|FADS1|RAN|RSL1D1|NCL|HSPA8|ELAVL1|EIF4A1|IRAK1|KXD1|YY1|RPL27|EIF3M|BZW1|EIF3F|SRSF9|RPS7|SFPQ|PAFAH1B2|SRSF1|BMP7|DEK|RBBP7|CIITA|RPL12|ORAI2|HINT1|HMGN1|RPS23|PABPC4|CNBP|VHL|RPL15|RRP7A|EEF1A1|ANKLE2|EEF1G|H2AZ2|GRB2|PTMA|RPL7|H2AZ1|RPL4|SWAP70|ST3GAL2|NONO|PMPCA|NDUFS6|EIF3I|NACA|IFNAR1|NCBP2|FABP5|EIF3K|DUT|PAICS|HMGA1|NUTF2|RPL21|KPNA6|RPL6|HNRNPA1|HDAC2|ERP29|YBX1	0
JOHNSTONE_PARVB_TARGETS_3_UP	0.00457067769073844	0.145779206796646	0.407017918923954	-0.427614046576816	-1.74074734918716	38	KRT19|DDIT4|JUP|FN1|RBCK1|RHOB|MKNK2|STX16|FLNA|GABARAP|FAHD1|VIM|RABAC1|TAPBP	0
JISON_SICKLE_CELL_DISEASE_DN	0.00484037898808957	0.145779206796646	0.407017918923954	0.514539394170518	1.65710458313979	32	RPL22|TCF3|FOXJ3|SET|HSPA8|TOMM7|FAM168B|EIF4A1|EIF3F|RPS7|SFPQ|PABPC4|EEF1A1|EEF1G|PTMA|RPL7|RPL4|NONO|NACA|EIF3K|SLC25A6|RPL21|RPL6	0
BOUDOUKHA_BOUND_BY_IGF2BP2	0.0048566390350256	0.145779206796646	0.407017918923954	0.623085343113417	1.72206141920106	16	UAP1|WDR5|RPL22|PEA15|CCND1|DYNLL1	0
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT	0.00501246556320845	0.145779206796646	0.407017918923954	0.622319689624411	1.71994533294022	16	AGO1|SYTL2|BRCA1|CCND1|SMARCA4|HINT1|YWHAH|RAB27A|TNRC6B	0
WHITFIELD_CELL_CYCLE_M_G1	0.00501246556320845	0.145779206796646	0.407017918923954	0.622041493178321	1.71917646335908	16	SINHCAF|CCND1|AMD1|DYNLL1|HSPA8|WIPF2|LARP1|CD24|YY1	0
WINTER_HYPOXIA_METAGENE	0.00524028125527823	0.146308652647368	0.407017918923954	-0.500724054097324	-1.79554198348638	24	SLC2A3|KRT19|DDIT4|FN1|KRT18|BNIP3|IGF2|SAT1|VIM|GAPDH	0
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN	0.00551967632446782	0.148182079787636	0.407017918923954	0.588459933805386	1.68626011573681	19	RPL22|AGO1|MRTO4|GRTP1|ZNF770|ZBTB43|PUM1|PSMB2	0
REACTOME_CELL_CYCLE_MITOTIC	0.00607546630449036	0.155014241244785	0.407017918923954	0.440877957309712	1.55835633459323	48	E2F4|CDT1|POM121C|PSMC6|SET|LIN52|CCND1|CKS1B|DYNLL1|RBX1|RFC2|PSMB2|RAN|DYNLL2|DSN1|MAU2|CCND2|RANGAP1|ESCO2|PSMA7|ANKLE2|H3-3A|PAFAH1B1|H2AZ2	0
REACTOME_MUSCLE_CONTRACTION	0.00649778508870165	0.155014241244785	0.407017918923954	-0.535382520866827	-1.86479699595544	21	ACTC1|MYL3|TPM2|MYL7|MYH6|TNNC1|MYL4|VIM|TPM1	0
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.00660108801220503	0.155014241244785	0.407017918923954	-0.469363138590999	-1.71905079731801	28	AASS|CCNF|JUP|TUBA1A|FN1|KRT18|RHOB|PDLIM5|SAT1|FLNA|APOE|TPM1	0
PUJANA_CHEK2_PCC_NETWORK	0.00666250320536324	0.155014241244785	0.407017918923954	0.389077562558657	1.50380983444752	89	HMGB3|CDT1|CCT3|G3BP1|TCF3|TIMM17A|BAZ1B|NME1|LDHB|PSMC6|BRCA1|SET|MIEF1|DCAF7|PRPF4|U2AF1|CKS1B|SMARCA4|PRDX1|FADS1|RAN|NCL|HSPA8|IRAK1|YY1|RPL27|EIF3M|BZW1|SRSF9|RPS7|SFPQ|SRSF1|DEK	0
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.00752918356797812	0.169528068724153	0.407017918923954	-0.494615206211913	-1.75505874042711	23	KRT8|KRT19|FN1|IRX3|KRT18|KRT7|SAT1|ZBTB8A	0
JOHNSTONE_PARVB_TARGETS_2_UP	0.00786189308514138	0.171487542919646	0.380730400722792	-0.523235456097194	-1.82248741540467	21	KRT8|S100A11|IRX3|KRT18|CD151	0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP	0.0097565923712426	0.201334418330465	0.380730400722792	-0.518245159662473	-1.76612023941947	20	NT5DC2|HNRNPA3|DNMT3A|TGFB2|ADAM9|GRK3|ILF3|RPS12|UGGT1	0
DELYS_THYROID_CANCER_UP	0.0100720677159405	0.201334418330465	0.380730400722792	-0.515001331631861	-1.71908354398498	18	KRT19|S100A11|FN1|CD151|RHOBTB3|APOE|APLNR	0
RICKMAN_METASTASIS_UP	0.0100955653890634	0.201334418330465	0.380730400722792	0.501525676194248	1.59308489232214	30	RPL22|CCDC43|FASTKD2|CAND1|WDR12|GATC|NCL|CCNB1IP1|VKORC1L1|PAPOLA|ERCC8|PLEKHA5|VHL|KAT8|VSTM4|NKAP	0
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	0.0105573993335027	0.204696242632913	0.380730400722792	0.365685308276332	1.45093878243866	105	UAP1|CCT3|G3BP1|ELOF1|TCF3|POP7|TIMM17A|SNRNP25|NME1|MRTO4|TOMM22|NDUFAF8|WDR12|EI24|CCND1|TIMM13|AMD1|BTBD7|HILPDA|PRDX1|NCL|TOMM5|PPP1R14B|C8orf33|MRPL57|YY1|VKORC1L1|EIF3M|BZW1|SFPQ|PAFAH1B2|LLPH|DUSP3|COA7|GADD45GIP1|GTPBP4|RANGAP1|FKBP1A|FSCN1|RRP7A|DDI2|TPM3|PSMA7|RPS26|UBIAD1	0
REACTOME_SARS_COV_INFECTIONS	0.0117508278530544	0.217909656814745	0.380730400722792	0.427320004735087	1.52764054756394	52	POM121C|BRD4|G3BP1|PSMC6|GATAD2A|RBX1|LARP1|IRAK1|RPSA|RPS7|RBBP7|RPS4X|RPS23|TBK1|CNBP|VHL|FKBP1A|YWHAH|EEF1A1|AP2S1|RPS3|RPS26|GRB2|ST3GAL2|IFNAR1|MBD3|HNRNPA1|HDAC2	0
UDAYAKUMAR_MED1_TARGETS_DN	0.011948828281942	0.217909656814745	0.380730400722792	-0.505522147211713	-1.68744185891314	18	SLC2A3|CCNF|ERF|RHOB|HNRNPA3|MKNK2|SAT1	0
REACTOME_CELL_CYCLE	0.0123083072115025	0.217909656814745	0.380730400722792	0.419947869059433	1.53734993541796	60	E2F4|CDT1|POM121C|MIS18A|PSMC6|BRCA1|SET|LIN52|CCND1|CKS1B|DYNLL1|RBX1|RFC2|PSMB2|RAN|DYNLL2|DSN1|MAU2|RBBP7|CCND2|RANGAP1|YWHAH|ESCO2|PSMA7|ANKLE2|H3-3A|PAFAH1B1|H2AZ2	0
GARY_CD5_TARGETS_DN	0.0125174070151164	0.217909656814745	0.380730400722792	0.482464953788579	1.57969821167648	35	NME1|PSMC6|FASTKD2|UBE2F|SSU72|AMD1|RFC2|RAN|MRPL20|BZW1|SRSF1|PAPOLA|GTPBP4|HINT1|MRPS16|PHAX|PSMA7|RBM8A|PAFAH1B1|PMPCA|SOD2	0
MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED	0.0127998509017257	0.217909656814745	0.380730400722792	-0.501106292705908	-1.74540907271193	21	KRT19|AARD|TPM2|LTBR|KRT18|KRT7|KBTBD12	0
FEVR_CTNNB1_TARGETS_DN	0.0133510675278271	0.221882027010079	0.380730400722792	0.39489815515372	1.45883201308227	63	HMGB3|CDT1|CCT3|FASTKD2|BRCA1|SET|WDR12|PRPF4|CCND1|GFER|RFC2|NCL|HSPA8|EIF4A1|IVD|EIF3M|TRNT1|EIF3F|SFPQ|SRSF1|DEK|PAPOLA|GTPBP4|RPL12|HMGN1|CCND2	0
MARTINEZ_RB1_TARGETS_DN	0.0141415303961483	0.229553214337477	0.380730400722792	0.43993447308702	1.53281741419439	46	PMEPA1|UAP1|PEA15|HRAS|SOX11|LDHB|CCDC43|ASB6|FASTKD2|UBE2F|CXXC5|SET|PDCD7|PRDX1|HSPA8|RPL27|CELF1|RPS7|MRPL52	0
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	0.0144747641561127	0.22962239502197	0.380730400722792	0.561222358207559	1.60820953872816	19	HRAS|NOSIP|FASTKD2|WDR12|LIN52	0
MARTINEZ_TP53_TARGETS_DN	0.0170450987877123	0.264388421196072	0.352487857583619	0.445197454741189	1.50565075128833	39	PMEPA1|UAP1|HRAS|LDHB|FASTKD2|UBE2F|CXXC5|WDR12|CCND1|PDCD7|SMARCA4|HSPA8|RPL27|CELF1|RPS7|MRPL52	0
MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP	0.0182087687932063	0.276298274296913	0.352487857583619	0.441270873753634	1.51470858775516	43	TXN2|GOSR2|SEC22C|GATAD2A|PRPF4|FAAP24|INO80E|MLST8|SMARCA4|CCNB1IP1|DYNLL2|WIPF2|MTMR9|SFPQ|SUMO3|PABPC4|RRP7A|ZNF106|UBIAD1|MTHFD1|RACK1|RUNDC1	0
REACTOME_METABOLISM_OF_RNA	0.0199123451081096	0.295719508201287	0.352487857583619	0.366134539952129	1.4336798873066	97	RPL22|POM121C|POP7|SNRNP25|PSMC6|FASTKD2|EXOSC6|SET|WDR12|SNRPN|PRPF4|PDCD7|U2AF1|PSMB2|RAN|NCL|RPP14|HSPA8|ELAVL1|EIF4A1|ADAT1|RPSA|RPL27|TRNT1|SRSF9|UTP6|RPS7|SRSF1|PAPOLA|RPL12|RPS4X|RPS23|PHAX|RPL15|RRP7A|RPS3|PSMA7|RPS26|RBM8A|RPL7|NKAP|RPL4|ISY1	0
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.0204581950794236	0.297496253446619	0.352487857583619	0.573618517084525	1.58534674026312	16	HRAS|PSMC6|NRAS|PSMB2|ORAI1|ORAI2|FKBP1A|NFKBIB|PSMA7|GRB2	0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0.0213330916988698	0.297531726375381	0.352487857583619	0.508852035057562	1.56831117853084	25	WDR5|AGO1|TCF3|PSMC6|GATA3|CCND1|SMARCA4|PSMB2|CCND2|PSMA7|TNRC6B|H3-3A|H2AZ2	0
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.0215298351576082	0.297531726375381	0.352487857583619	0.347445711983203	1.38639342343463	109	UAP1|WDR5|POM121C|WSB2|DPM2|RAB3B|YKT6|UBE2Z|SENP5|ASB6|PSMC6|UBE2F|BRCA1|GATA3|GOSR2|SEC22C|UBXN7|CAND1|DCAF7|INO80E|DYNLL1|NUS1|RBX1|PSMB2|HSPA8|DYNLL2|TF|USP22|TAF10|YY1|DBT|RAB34|ERCC8|RBBP7|SUMO3|RPS23|RANGAP1|VHL|EEF1A1|RAB27A|GAN|PSMA7|RAB4B|ARFGAP2|PARK7|B4GALT2|ST3GAL2|RNF7	0
DELACROIX_RAR_BOUND_ES	0.0217394241334448	0.297531726375381	0.352487857583619	0.505525901175331	1.55805984299633	25	WSB2|LDHB|GRTP1|ZNF770|SET|MIEF1|CCND1|PPP1R14B|CAMK1D|GTPBP4|UBXN2A|IFITM1	0
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	0.0229584227170201	0.300110882768831	0.352487857583619	0.502097154538181	1.54749224906152	25	NME1|NDUFAF8|BRCA1|GOSR2|DCAF7|NEK8|WIPF2|UTP6|SRSF1|NCBP3	0
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	0.0231701607102622	0.300110882768831	0.352487857583619	-0.311946941535877	-1.45262040666276	72	SLC2A3|METTL8|DDIT4|TBL1X|TUBA1A|RBCK1|GNE|ATOX1|CARHSP1|WSB1|RHOBTB3|NOLC1|GGPS1|YIPF4|STX16|RNF41	0
IGLESIAS_E2F_TARGETS_UP	0.0233446417682986	0.300110882768831	0.352487857583619	-0.487290951316118	-1.66063183719048	20	KRT19|S100A11|HNRNPA2B1|TUBA1A|RHOB|TMEM45A|SAT1|APOE|TUBA1B	0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	0.0236477056623004	0.300110882768831	0.352487857583619	0.581473808226911	1.57085994007495	15	GNB1|NME1|PSMC6|MRTO4|NRAS|WDR12	0
PULVER_FOREY_CELLCYCLE_PEAKING_M	0.0245668543105254	0.302239027000204	0.352487857583619	-0.394183830930645	-1.55939103152164	36	KRT19|METTL8|JUP|TUBA1A|FN1|RHOB|BTBD2|STX16|VIM|PPP1R3B	0
CHYLA_CBFA2T3_TARGETS_UP	0.0246814105143433	0.302239027000204	0.352487857583619	-0.465081206280893	-1.61992968120016	21	TMEM141|S100A11|HOMER3|KRT18|RHOB|KRT7|TBXA2R|PPP1R3B|RAB31	0
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	0.0261870197533664	0.315147237721547	0.352487857583619	0.356017803256775	1.39437560745644	96	UAP1|CCT3|G3BP1|ELOF1|TCF3|POP7|TIMM17A|SNRNP25|MRTO4|TOMM22|NDUFAF8|WDR12|EI24|CCND1|TIMM13|AMD1|BTBD7|HILPDA|PRDX1|NCL|TOMM5|PPP1R14B|MRPL57|YY1|VKORC1L1|BZW1|SFPQ|PAFAH1B2|LLPH|DUSP3|COA7|GADD45GIP1|RANGAP1|FKBP1A|FSCN1|RRP7A|DDI2|TPM3|PSMA7|RPS26|UBIAD1	0
BENPORATH_CYCLING_GENES	0.0278419300922988	0.329384189905501	0.352487857583619	0.406032334154499	1.47673947044587	56	HMGB3|G3BP1|DMTF1|HRAS|GNB1|BRCA1|SINHCAF|DCAF7|CCND1|SLC25A36|AMD1|HPS4|CKS1B|DYNLL1|RFC2|RAN|HSPA8|LARP1|CD24	0
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_14	0.0297365742980827	0.338061924136601	0.352487857583619	0.543180908593849	1.58333747724467	20	CCT3|YKT6|NME1|GATAD2A|SMARCA4|MRPS10|RAN|MRPL20|PPP1R14B|IRAK1|SRSF1|RAB34|PABPC4	0
REACTOME_ESR_MEDIATED_SIGNALING	0.0298661072605153	0.338061924136601	0.352487857583619	0.488061121848721	1.50423239068911	25	AGO1|HRAS|GNB1|NRAS|GATA3|CXXC5|CCND1|YY1|JUND|GNAI2|TNRC6B|H3-3A|H2AZ2	0
HELLER_HDAC_TARGETS_UP	0.0305498539698383	0.338061924136601	0.352487857583619	-0.421880306043923	-1.50967598926911	25	AASS|CCNF|PRDX2|JUP|TUBA1A|FN1	0
REACTOME_PROTEIN_LOCALIZATION	0.0309842428027668	0.338061924136601	0.352487857583619	0.53984045858073	1.57360027990773	20	TIMM17B|TIMM17A|TOMM22|TIMM10B|TIMM13|GFER|TOMM5|TOMM7|SGTA	0
WP_MESODERMAL_COMMITMENT_PATHWAY	0.0309970818692585	0.338061924136601	0.352487857583619	0.556465569394744	1.53794002500555	16	NABP2|MIXL1|EOMES|GATA3|CCND1|TRIM71|FGFR1|NANOG|BMP7	0
REACTOME_INFECTIOUS_DISEASE	0.0318021201413428	0.34050937293427	0.276500599254472	0.331623851108719	1.35505084485597	130	RPL22|POM121C|BRD4|G3BP1|WASF2|GNB1|PSMC6|GATAD2A|BCAP31|DYNLL1|RBX1|VPS37B|PSMB2|RAN|NCL|HSPA8|DYNLL2|WIPF2|LARP1|IRAK1|TAF10|RPSA|RPL27|RPS7|SFPQ|RBBP7|RPL12|MED12|RPS4X|RPS23|MED29|RANGAP1|TBK1|CNBP|VHL|FKBP1A|RPL15|YWHAH|EEF1A1|AP2S1|RPS3|MED18|GNAI2|PSMA7|RPS26|GRB2|RPL7|RPL4|ST3GAL2|ARPC5|TBL1XR1|POLR2I|IFNAR1|NCBP2|SLC25A6|HMGA1|RPL21|MBD3|RPL6|RPL3|NMT2|HNRNPA1|HDAC2|SNRPD1|RAC1|CDC42|PRKX|AP1S3|YES1|VCP	0
CHICAS_RB1_TARGETS_GROWING	0.0321971613376244	0.34050937293427	0.321775918075361	-0.487767416916391	-1.57523526770438	15	CCBE1|IDH2|DDIT4|TMPO|SSRP1|EXOSC8	0
LIU_PROSTATE_CANCER_DN	0.0343218982253872	0.347464067284609	0.321775918075361	-0.364517359131839	-1.42542940837035	35	KRT19|FLNC|DOK4|TUBA1A|TPM2|KRT7|IGF2|TGFB2|FLNA|TPM1	0
WANG_CLIM2_TARGETS_UP	0.0354706684856753	0.347464067284609	0.282013350011725	0.487456502565093	1.48731001588864	24	CDT1|ZHX3|CXXC5|GLUL|HPS4|PSMB2|RBSN|FGFR1|SFPQ|DUSP6|BMP7|RANGAP1|FSCN1	0
