"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000005339","CREBBP",122.982275252166,0.810498221621708,0.38314535439282,0.00132591958335937,0.0257331839706589
"ENSG00000007168","PAFAH1B1",1068.78913869383,0.400459609683761,0.18829878206019,0.00327704602800459,0.0476557928808672
"ENSG00000008018","PSMB1",2945.19270131627,-0.39599162201708,0.135980228390177,0.000429392174725236,0.0126347493132861
"ENSG00000008394","MGST1",227.937901695979,-0.534256630604996,0.242463988991252,0.00172230906008212,0.0311564900454731
"ENSG00000011052","NME1-NME2",1709.46083084487,-0.605109738760048,0.21164411978435,0.000267789555160512,0.00927602680628786
"ENSG00000037241","RPL26L1",892.432835848726,-0.575888305759417,0.197793994996425,0.000243551193733838,0.00869318411699333
"ENSG00000062485","CS",1579.57342668707,0.393714050717406,0.182599782473718,0.00319101342784396,0.0473032159959256
"ENSG00000063177","RPL18",763.081123099171,-0.500139712454894,0.186732677952866,0.000567060015406658,0.0156743407288921
"ENSG00000065518","NDUFB4",443.136837752061,-0.483786624451923,0.245756360680345,0.00322529329579394,0.0473244777691159
"ENSG00000067596","DHX8",360.585876590363,0.563121090441493,0.205520839304803,0.000419109668745048,0.0123988498218467
"ENSG00000071054","MAP4K4",182.670041293968,0.746554529115804,0.268331478923864,0.000274954498761638,0.00946431428756255
"ENSG00000071082","RPL31",2886.77219774703,-0.742468236122209,0.237536996104093,9.54184894324046e-05,0.00502139800638029
"ENSG00000071537","SEL1L",120.312706205589,0.702868057111025,0.317470878856849,0.00122711448174079,0.0252481111224335
"ENSG00000074071","MRPS34",1511.6458750916,-0.392438661845347,0.17413448444056,0.00253136867666649,0.0411888521263112
"ENSG00000077152","UBE2T",662.368324609878,-0.516279969514146,0.190285156226837,0.000498060265212814,0.0140509475851017
"ENSG00000082515","MRPL22",744.256585436827,-0.475711773165867,0.199572023377597,0.001322010787431,0.0257331839706589
"ENSG00000083457","ITGAE",228.76774449445,-0.558482467688355,0.29376360829512,0.00296563016876044,0.045211403659125
"ENSG00000083845","RPS5",6405.74789271531,-0.470251995261289,0.198563469711658,0.001412009593763,0.0268330850925864
"ENSG00000084072","PPIE",1436.65085664131,-0.509386685370418,0.164198314721482,0.000157985354154765,0.00665118340991561
"ENSG00000086758","HUWE1",372.927730180798,0.843711887251908,0.241596825653671,2.49915796561097e-05,0.00308971058366037
"ENSG00000087302","RTRAF",784.082596191353,-0.536312153162469,0.193790141485787,0.000393414288689974,0.0119619800111124
"ENSG00000088986","DYNLL1",565.175911509814,-0.475539780179323,0.239512559191259,0.00321114904548538,0.0473032159959256
"ENSG00000089597","GANAB",1520.87722581829,0.416170485676109,0.170189914531368,0.00145317091271758,0.0273305993309393
"ENSG00000090263","MRPS33",778.213147787697,-0.596215157913278,0.188841215865706,0.000107991547653461,0.00529308981662464
"ENSG00000090266","NDUFB2",4876.90782416503,-0.740003675320411,0.167225101868518,8.61142453244764e-07,0.000875328374423445
"ENSG00000095380","NANS",409.429781926978,-0.422315582113459,0.199876513973615,0.00303956773545247,0.0460818676347129
"ENSG00000099795","NDUFB7",837.494450704464,-0.701384525206402,0.229149541487547,0.000123868823515083,0.00569692496721049
"ENSG00000099901","RANBP1",3946.43937473727,-0.416763167613885,0.178940943840689,0.00191138919924975,0.0334218309504597
"ENSG00000100142","POLR2F",503.548921288459,-0.558008586275844,0.211760022293106,0.00055972070563703,0.0156293439895483
"ENSG00000100300","TSPO",603.216219338478,-0.569765735727435,0.228891609755738,0.000796608450859835,0.0197622358154087
"ENSG00000100319","ZMAT5",178.03216844005,-0.607910389137363,0.275021478388979,0.00143018393825726,0.0270844176265814
"ENSG00000100387","RBX1",3162.38924031307,-0.585000973259463,0.176769990068222,6.78109694393734e-05,0.00430798401305956
"ENSG00000100410","PHF5A",913.877440920921,-0.701978616024131,0.197540572659853,2.31396351553223e-05,0.0030888591025629
"ENSG00000100442","FKBP3",714.826656231518,-0.509341021985548,0.181304649691467,0.000387835084762,0.011858220217332
"ENSG00000100526","CDKN3",1195.41609160907,-0.509434772377107,0.149951235779369,5.85967079579666e-05,0.00400571167328392
"ENSG00000100567","PSMA3",1145.60144807689,-0.596651709368536,0.163132265542945,1.85166243420335e-05,0.00269331964492922
"ENSG00000100632","ERH",1659.39083008044,-0.385792471688087,0.177106393925206,0.00310001752891253,0.0466109778454348
"ENSG00000100902","PSMA6",1135.54423981414,-0.52595155060544,0.178809025835711,0.000250430041544368,0.00878592062418157
"ENSG00000101182","PSMA7",5354.37663562206,-0.449925309979933,0.169137620143439,0.000714336868428058,0.0182689985089101
"ENSG00000102309","PIN4",577.842890762883,-0.614235499189217,0.213366052715216,0.000248279391810261,0.00876666523469393
"ENSG00000103363","ELOB",1975.00991269132,-0.752542210001797,0.202798038142867,1.18391773295033e-05,0.00229645485106338
"ENSG00000104529","EEF1D",901.255956825493,-0.425269807059333,0.201663222360876,0.00301688272441523,0.0458649976409015
"ENSG00000104833","TUBB4A",142.429784388263,0.719539365745572,0.311305999979616,0.000951404232906961,0.0222522878918795
"ENSG00000104979","C19orf53",1481.56333649233,-0.386305361633011,0.175170530441899,0.00291468537710541,0.0446836780641398
"ENSG00000105185","PDCD5",1039.1138570676,-0.729378565819542,0.214880214513982,3.92964048145892e-05,0.00341379719921026
"ENSG00000105193","RPS16",1449.03788158995,-0.519819949314848,0.211619984988559,0.000978406925716706,0.0226899199340997
"ENSG00000105220","GPI",902.886627669471,0.457549363888259,0.226631440096963,0.00323723314614702,0.0473726657990979
"ENSG00000105254","TBCB",536.503309461612,-0.589151444466431,0.187941997538747,0.000118546970106714,0.0056129511100826
"ENSG00000105404","RABAC1",1959.57819593197,-0.398995591009268,0.172923612803076,0.00217057028100715,0.0368929538756277
"ENSG00000105640","RPL18A",2028.31559169554,-0.455978600635414,0.202581203017082,0.00195156494138359,0.0339712299583105
"ENSG00000105647","PIK3R2",105.44462310804,0.68199585709482,0.339116972001798,0.00191004402178963,0.0334218309504597
"ENSG00000106028","SSBP1",1496.68846767479,-0.518557578716513,0.198934560092168,0.000664444584267315,0.0173995464578709
"ENSG00000106144","CASP2",1185.41038267417,0.57095712465364,0.243919335133581,0.00115820406105588,0.0244923992400874
"ENSG00000106153","CHCHD2",1828.61167414514,-0.589853071773883,0.227735515018379,0.000584125241668846,0.015984587238268
"ENSG00000106355","LSM5",396.712948255718,-0.751237277330664,0.243436445966549,0.000107290430186433,0.00529308981662464
"ENSG00000106399","RPA3",800.048244010793,-0.704308210443335,0.224258898863672,0.000113946494213937,0.00548130272538688
"ENSG00000106588","PSMA2",1604.48334857898,-0.626875501186378,0.170951488481503,1.70868099150745e-05,0.00267188887614865
"ENSG00000106591","MRPL32",237.437064258475,-0.769317349239543,0.288989141444694,0.000370022758724211,0.0115064463551001
"ENSG00000108010","GLRX3",1331.93956378231,-0.485609955158647,0.157000870009347,0.000176138044386162,0.00714076679204047
"ENSG00000108298","RPL19",5303.54987133091,-0.569931134255932,0.192875281956323,0.000183820083131544,0.00729019793462999
"ENSG00000108561","C1QBP",3194.28429438333,-0.443137266466212,0.174302648872002,0.00100493149620823,0.0229332691953489
"ENSG00000108590","MED31",182.098722819041,-0.979702533696779,0.322566545100948,0.000103352809541116,0.00523749932054192
"ENSG00000108641","B9D1",480.973363011236,-0.522943657724067,0.222634530863915,0.00126655685528986,0.0253595082574338
"ENSG00000108961","RANGRF",442.159130942295,-0.436519567634462,0.199629821118201,0.00245109636709057,0.0404061759550804
"ENSG00000109390","NDUFC1",537.551060230536,-0.459070679074512,0.189287367840338,0.00128752001117146,0.025531148627324
"ENSG00000110700","RPS13",6941.12165306997,-0.466286155466355,0.221676359840443,0.00260179597369362,0.0418812628353682
"ENSG00000111237","VPS29",1342.40418428751,-0.602702555443531,0.157991191182411,9.98161318245925e-06,0.00210112957490767
"ENSG00000111775","COX6A1",1860.21015631085,-0.561487401000078,0.247042086379695,0.00136348740328326,0.026241867098941
"ENSG00000111832","RWDD1",455.012558952623,-0.523543684819061,0.215020523004741,0.0010317004738376,0.0232475445538591
"ENSG00000111897","SERINC1",1552.32952846036,0.507461691851028,0.202939282670973,0.000921065342117818,0.0219223305888237
"ENSG00000112186","CAP2",113.84298108037,0.576054146507732,0.310987934717322,0.00315150437055223,0.0469977749864641
"ENSG00000112304","ACOT13",200.242840178499,-0.515073706974165,0.243484374020374,0.0021912019382018,0.0368998406393184
"ENSG00000112667","DNPH1",1451.16517653387,-0.592606676290198,0.163862591069225,2.17902640942597e-05,0.00303364350088906
"ENSG00000112695","COX7A2",3846.61733468135,-0.699301228594703,0.183687720285305,8.63198633768609e-06,0.00205403744461548
"ENSG00000113387","SUB1",1097.83532194198,-0.588933917800838,0.235807848172373,0.000745083594052273,0.018705699588294
"ENSG00000113558","SKP1",2918.12458837764,-0.35058818992573,0.153161695836048,0.00289112250918578,0.0444469480134094
"ENSG00000113732","ATP6V0E1",1255.71258092703,-0.477332522878354,0.166200939723504,0.000350962230702532,0.0112328437931869
"ENSG00000114209","PDCD10",421.797225870722,-0.626654615083886,0.184892532174734,4.68731496468667e-05,0.00367158698971339
"ENSG00000114391","RPL24",2134.88831395762,-0.545725389338636,0.221775704554847,0.000902872993080913,0.0218826654726072
"ENSG00000115128","SF3B6",1303.12055190201,-0.82437787100489,0.21248302363634,5.76867376251335e-06,0.00175399730567975
"ENSG00000115541","HSPE1",1519.28472923633,-0.880519723700252,0.225301572452535,4.89119751696285e-06,0.00167309525064611
"ENSG00000116459","ATP5PB",3063.81515963328,-0.344060171977253,0.143394062335831,0.002491185584587,0.0407894885152698
"ENSG00000116830","TTF2",367.184056679211,0.574308081630969,0.192457915272955,0.000198431607301578,0.00748976680525199
"ENSG00000117318","ID3",769.995688222291,-0.65007369467386,0.189290759700754,3.80996807413043e-05,0.00336321859188966
"ENSG00000117410","ATP6V0B",3791.02252163965,-0.407557304260761,0.183721510785031,0.00259892861514594,0.0418812628353682
"ENSG00000117691","NENF",213.662493560982,-0.5959432154006,0.224579772782668,0.000493482974518206,0.0140509475851017
"ENSG00000118939","UCHL3",972.188665559416,-0.454177835658813,0.169477449147452,0.000618991905119065,0.0164525724867406
"ENSG00000119013","NDUFB3",227.332397953066,-0.652089716726966,0.309063965697109,0.00163047712256052,0.0299449707777641
