,SN_S1_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S1_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S2_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S3_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S4_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S5_3_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_1_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_2_MKDL250005004-1A_22VVM5LT4_L5,SN_S6_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S1_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S2_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S3_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S4_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S5_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate_S6_3_MKDL250005004-1A_22VVM5LT4_L5
ENSG00000000003,226.0,160.0,89.0,58.0,256.0,246.0,3.0,6.0,1.0,53.0,99.0,54.0,63.0,55.0,224.0,0.0,0.0,4.0,501.0,408.0,483.0,1242.0,1808.0,713.0,722.0,694.0,467.0,1291.0,1168.0,301.0,232.0,507.0,277.0,691.0,1351.0,294.0
ENSG00000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
ENSG00000000419,184.0,190.0,31.0,7.0,55.0,18.0,29.0,39.0,13.0,16.0,91.0,26.0,5.0,13.0,6.0,2.0,2.0,6.0,24.0,25.0,20.0,76.0,29.0,16.0,41.0,28.0,12.0,48.0,19.0,6.0,10.0,15.0,18.0,45.0,78.0,6.0
ENSG00000000457,28.0,36.0,2.0,0.0,1.0,0.0,3.0,13.0,6.0,5.0,12.0,3.0,0.0,5.0,26.0,3.0,0.0,1.0,16.0,4.0,6.0,12.0,14.0,4.0,12.0,8.0,5.0,14.0,12.0,5.0,2.0,11.0,5.0,6.0,19.0,0.0
ENSG00000000460,4.0,13.0,0.0,0.0,5.0,2.0,15.0,3.0,3.0,2.0,32.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,8.0,12.0,23.0,30.0,5.0,24.0,5.0,15.0,13.0,12.0,2.0,4.0,16.0,4.0,21.0,31.0,3.0
ENSG00000000938,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,14.0,26.0,9.0,1.0,1.0,2.0,5.0,9.0,0.0,2.0,13.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,5.0,12.0,3.0,12.0,3.0,4.0,0.0,3.0,1.0,1.0,5.0,4.0,0.0,2.0
ENSG00000001036,139.0,50.0,81.0,19.0,49.0,57.0,10.0,1.0,8.0,26.0,14.0,28.0,31.0,4.0,135.0,0.0,0.0,0.0,161.0,128.0,67.0,375.0,425.0,104.0,135.0,64.0,55.0,239.0,299.0,60.0,44.0,80.0,66.0,90.0,252.0,62.0
ENSG00000001084,60.0,35.0,4.0,4.0,27.0,4.0,37.0,26.0,4.0,1.0,49.0,11.0,1.0,6.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,18.0,14.0,3.0,8.0,1.0,2.0,10.0,12.0,7.0,4.0,2.0,5.0,1.0,7.0,0.0
ENSG00000001167,60.0,36.0,40.0,11.0,45.0,59.0,61.0,12.0,26.0,3.0,23.0,6.0,12.0,1.0,173.0,0.0,0.0,3.0,55.0,20.0,41.0,76.0,118.0,59.0,43.0,12.0,20.0,67.0,118.0,41.0,6.0,28.0,26.0,24.0,78.0,14.0
ENSG00000001460,360.0,421.0,127.0,11.0,61.0,37.0,43.0,45.0,24.0,38.0,225.0,51.0,0.0,9.0,0.0,0.0,0.0,1.0,109.0,68.0,107.0,193.0,87.0,47.0,213.0,103.0,100.0,180.0,187.0,80.0,76.0,87.0,79.0,109.0,246.0,28.0
ENSG00000001461,182.0,281.0,93.0,14.0,85.0,63.0,12.0,16.0,7.0,67.0,87.0,68.0,57.0,102.0,238.0,0.0,1.0,0.0,30.0,4.0,20.0,39.0,31.0,19.0,19.0,14.0,4.0,30.0,43.0,9.0,3.0,19.0,17.0,12.0,40.0,2.0
ENSG00000001497,36.0,20.0,44.0,12.0,82.0,94.0,21.0,2.0,8.0,19.0,22.0,20.0,201.0,195.0,1447.0,0.0,13.0,0.0,66.0,14.0,32.0,121.0,138.0,34.0,50.0,14.0,26.0,99.0,122.0,32.0,20.0,30.0,22.0,32.0,91.0,7.0
ENSG00000001561,25.0,3.0,12.0,2.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,15.0,7.0,37.0,34.0,19.0,13.0,14.0,13.0,20.0,21.0,7.0,3.0,6.0,6.0,16.0,29.0,8.0
ENSG00000001617,12.0,1.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
ENSG00000001626,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
