,25L008070,25L008071,25L008072,25L008073,25L008074,25L008075,25L008076,25L008077,25L008078,25L008079,25L008080,25L008081,25L008082,25L008083,25L008084,25L008085,25L008086,25L008087,25L008088,25L008089,25L008090,25L008091,25L008092,25L008093,25L008094,25L008095,25L008096,25L008097,25L008098,25L008099,25L008100,25L008101,25L008102,25L008103,25L008104,25L008105,25L008106,25L008107,25L008110,25L008111
ENSG00000000003,700.0,1526.0,816.0,2303.0,3398.0,2818.0,1319.0,7950.0,4523.0,7164.0,475.0,714.0,1308.0,0.0,0.0,5.0,31.0,501.0,250.0,548.0,415.0,218.0,164.0,399.0,208.0,240.0,466.0,361.0,157.0,357.0,362.0,269.0,5.0,291.0,2603.0,0.0,107.0,461.0,2.0,301.0
ENSG00000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000000419,183.0,294.0,125.0,246.0,250.0,188.0,115.0,735.0,455.0,747.0,219.0,327.0,453.0,0.0,0.0,0.0,0.0,22.0,17.0,40.0,40.0,16.0,17.0,17.0,22.0,19.0,35.0,10.0,16.0,12.0,18.0,9.0,2.0,11.0,319.0,0.0,20.0,25.0,0.0,16.0
ENSG00000000457,57.0,76.0,78.0,72.0,93.0,46.0,65.0,73.0,51.0,52.0,46.0,49.0,224.0,0.0,0.0,0.0,0.0,6.0,10.0,13.0,14.0,7.0,7.0,18.0,6.0,8.0,14.0,6.0,2.0,9.0,10.0,3.0,1.0,9.0,96.0,0.0,5.0,8.0,0.0,3.0
ENSG00000000460,5.0,76.0,49.0,64.0,81.0,100.0,84.0,225.0,118.0,204.0,72.0,96.0,153.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,13.0,4.0,2.0,7.0,7.0,2.0,10.0,2.0,5.0,8.0,11.0,4.0,0.0,6.0,145.0,0.0,3.0,8.0,0.0,11.0
ENSG00000000938,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,11.0,1.0,12.0,23.0,23.0,18.0,12.0,46.0,41.0,38.0,9.0,11.0,57.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,1.0,2.0,6.0,14.0,5.0,18.0,3.0,6.0,7.0,10.0,7.0,2.0,0.0,10.0,29.0,0.0,1.0,12.0,0.0,5.0
ENSG00000001036,280.0,396.0,150.0,371.0,361.0,709.0,388.0,1861.0,1052.0,1561.0,175.0,250.0,565.0,0.0,0.0,0.0,0.0,121.0,71.0,127.0,92.0,76.0,35.0,180.0,71.0,75.0,39.0,104.0,50.0,122.0,176.0,77.0,1.0,161.0,828.0,0.0,8.0,120.0,0.0,83.0
ENSG00000001084,24.0,40.0,18.0,187.0,214.0,266.0,150.0,74.0,44.0,100.0,121.0,247.0,355.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,12.0,3.0,4.0,9.0,5.0,11.0,8.0,8.0,4.0,5.0,7.0,1.0,0.0,7.0,346.0,0.0,0.0,6.0,0.0,27.0
ENSG00000001167,118.0,225.0,127.0,996.0,1132.0,1764.0,685.0,816.0,630.0,1057.0,202.0,174.0,435.0,0.0,0.0,0.0,6.0,12.0,14.0,33.0,16.0,19.0,11.0,24.0,19.0,14.0,12.0,18.0,11.0,29.0,32.0,17.0,4.0,17.0,1360.0,0.0,7.0,15.0,0.0,131.0
ENSG00000001460,94.0,146.0,156.0,205.0,230.0,309.0,225.0,405.0,130.0,294.0,154.0,237.0,327.0,0.0,0.0,0.0,0.0,74.0,124.0,138.0,259.0,115.0,114.0,161.0,203.0,79.0,70.0,129.0,114.0,87.0,86.0,28.0,51.0,49.0,442.0,0.0,76.0,63.0,1.0,56.0
ENSG00000001461,351.0,768.0,398.0,711.0,1175.0,1617.0,677.0,1350.0,684.0,1047.0,279.0,187.0,623.0,0.0,0.0,0.0,0.0,45.0,26.0,73.0,43.0,30.0,28.0,75.0,33.0,20.0,18.0,29.0,29.0,48.0,41.0,32.0,3.0,36.0,1521.0,12.0,16.0,40.0,0.0,155.0
