sample_name,Sample_ID,Sample_Name,Sample_NameLIMS,FID_comment,Sample_Project,Library Protocol,Mergefastq,Read length,Organism
25L008070,Sample_25L008070,25L008070,SN_1_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1593_pPGK2_Gag(L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008071,Sample_25L008071,25L008071,SN_1_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1593_pPGK2_Gag(L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008072,Sample_25L008072,25L008072,SN_1_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1593_pPGK2_Gag(L21S+ZF)-GCN4-HiBit-PABP(RRM1-2_M161A)",Project_1716,custom,False,100bp PE,human
25L008073,Sample_25L008073,25L008073,SN_2_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2468_pPGK2_mGag-L21S_(codon_optimized)_sPAM",Project_1716,custom,False,100bp PE,human
25L008074,Sample_25L008074,25L008074,SN_2_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2468_pPGK2_mGag-L21S_(codon_optimized)_sPAM",Project_1716,custom,False,100bp PE,human
25L008075,Sample_25L008075,25L008075,SN_2_4,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2468_pPGK2_mGag-L21S_(codon_optimized)_sPAM",Project_1716,custom,False,100bp PE,human
25L008076,Sample_25L008076,25L008076,SN_3_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with GA2469_pPGK2_mGag-L21S_(codon_optimized)_NC-sPAM",Project_1716,custom,False,100bp PE,human
25L008077,Sample_25L008077,25L008077,SN_4_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L687_pPGK2_mGag-L21S_(codon_optimized)",Project_1716,custom,False,100bp PE,human
25L008078,Sample_25L008078,25L008078,SN_4_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L687_pPGK2_mGag-L21S_(codon_optimized)",Project_1716,custom,False,100bp PE,human
25L008079,Sample_25L008079,25L008079,SN_4_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L687_pPGK2_mGag-L21S_(codon_optimized)",Project_1716,custom,False,100bp PE,human
25L008080,Sample_25L008080,25L008080,SN_5_1,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1691.1_pPGK2_minigag-L21S(ZF1(C_S)-ZF2)_HiBit-PABP-bGH-pA",Project_1716,custom,False,100bp PE,human
25L008081,Sample_25L008081,25L008081,SN_5_2,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1691.1_pPGK2_minigag-L21S(ZF1(C_S)-ZF2)_HiBit-PABP-bGH-pA",Project_1716,custom,False,100bp PE,human
25L008082,Sample_25L008082,25L008082,SN_5_3,"sampled 48h post transfection, 24h post media change, 10%FCS DMEM with PS Pip Cip GM, HEK wt, transfected with L1691.1_pPGK2_minigag-L21S(ZF1(C_S)-ZF2)_HiBit-PABP-bGH-pA",Project_1716,custom,False,100bp PE,human
