pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
REACTOME_MUSCLE_CONTRACTION,1.7157665750293818e-25,7.599219590790129e-25,1.23356603331908e-06,10,7,-0.3049330952682124,1.1976050693705086e-22
SWEET_LUNG_CANCER_KRAS_DN,5.691676347854411e-18,8.134183734817303e-20,3.95121169153286e-05,10,2,-0.27518991779037305,1.9863950454011896e-15
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,3.26233434329223e-17,1.3774614116365103e-17,2.38851125125987e-05,10,4,-0.2706270393819775,7.59036457205992e-15
KEGG_DILATED_CARDIOMYOPATHY,2.2711324664963335e-16,4.823543990239223e-17,5.73489148228052e-05,10,5,-0.24951835706162698,3.963126154036102e-14
AFFAR_YY1_TARGETS_UP,2.558029553506752e-15,4.268363970149237e-16,9.74411951809032e-06,10,2,-0.1591885689114188,3.5710092566954257e-13
PECE_MAMMARY_STEM_CELL_UP,1.222604465634935e-09,2.035473088343711e-06,9.92928191780973e-07,10,1,0.1176727961913667,1.4222965283553077e-07
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,2.6677002503445214e-09,9.632037240443472e-08,5.49399270254968e-05,10,3,-0.26819403353647653,2.327568468425595e-07
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,2.6677002503445214e-09,9.632037240443472e-08,5.49399270254968e-05,10,3,-0.26819403353647653,2.327568468425595e-07
HSIAO_HOUSEKEEPING_GENES,1.7410753208094373e-08,2.453356580228984e-05,2.35560342847925e-05,10,2,-0.07591627778363125,1.3503006376944303e-06
JIANG_MELANOMA_TRM8_CD4,2.6589944295082076e-08,0.000671747851163105,6.47232123746793e-06,10,3,-0.07387768706745626,1.8559781117967287e-06
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,4.3672059927061994e-08,1.0,4.67737194215619e-05,10,2,0.02934752527701706,2.7711907117353886e-06
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP,4.9503006135169966e-08,1.3459970515593072e-06,2.35673178161264e-05,10,1,-0.21803521132812284,2.879424856862386e-06
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5.539510512554311e-08,1.3199068982305391e-05,0.0001062109738504,9,3,-0.09371147557744325,2.9742910290483914e-06
ENK_UV_RESPONSE_KERATINOCYTE_UP,3.172523664023322e-07,0.00031523887254390276,0.0002068540323494,10,3,-0.27730303579554566,1.5817296553487704e-05
HOUNKPE_HOUSEKEEPING_GENES,3.872543669523614e-07,7.848154864756099e-08,3.14023745910603e-05,10,1,0.002848644619836005,1.8020236542183217e-05
KEGG_RIBOSOME,4.1848085870639696e-07,9.612565520241869e-05,0.0001137498152988,10,3,-0.19849018392014975,1.825622746106657e-05
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,5.605430178300695e-07,0.00146109159904415,8.64410182273866e-05,10,2,-0.14625992249674621,2.3015236849728736e-05
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,2.503516615046578e-06,0.0006476304254605098,0.0001262065564239,10,2,-0.16534535197891315,9.708081096125064e-05
REACTOME_SELENOAMINO_ACID_METABOLISM,3.786259149311606e-06,1.0,0.0002327202433426,10,2,-0.20398052889020205,0.00013909520453786846
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,4.393499455389395e-06,0.01053018771208918,0.0001258757207558,10,2,0.025478022416407575,0.00015333313099308987
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,5.912203436670256e-06,1.0,0.0002367674507934,10,2,-0.19398545689977628,0.00019651038089503996
TSENG_IRS1_TARGETS_DN,6.3695754925722195e-06,1.2663306566168361e-05,0.001530500159156,10,1,-0.2787474650566709,0.00020208925880979133
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1.4828727339054041e-05,0.0011289057423647028,0.0001948567605168,10,1,0.10640024433501041,0.00045001963837650966
MARTINEZ_RB1_TARGETS_DN,1.699194487368182e-05,0.00012613330651368217,0.0014581813742367,9,0,-0.16680144884116727,0.000494182396742913
MA_RAT_AGING_DN,2.3639135029244075e-05,5.675493892780325e-05,0.0015310969192139,10,0,-0.20611242263295693,0.0006600046500164946
JIANG_MELANOMA_TRM3_CD8,3.3282017153272534e-05,0.0005988379082551426,0.0005657335709673,10,1,-0.04326590883215827,0.0008934941528070857
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP,4.082679237031121e-05,0.0008338962312905937,0.0001493634910596,10,1,-0.23494632606466279,0.0010554481879436008
BENPORATH_CYCLING_GENES,4.983024465793249e-05,1.4504162079956939e-05,0.0121168586762913,10,0,-0.144733329046158,0.0012421968132584598
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN,5.458975098281809e-05,1.0,0.0001235671102187,10,1,-0.08323466310841772,0.0013139188340002422
PASINI_SUZ12_TARGETS_DN,6.943897850534482e-05,0.009295429901770886,9.03402457695679e-06,10,1,0.10262617957808254,0.0016156135665576896
