pathway,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,stouffer_padj
GOCC_CONTRACTILE_MUSCLE_FIBER,9.216569092508747e-50,4.81660983817352e-14,10,8,-0.10388270159205212,7.520720379487138e-47
GOCC_I_BAND,6.679763660274935e-30,7.2182680495227e-08,10,7,0.043931055886690905,2.7253435733921733e-27
GOBP_MUSCLE_CONTRACTION,8.809274887689598e-23,1.04943527646374e-07,10,6,-0.20026665088597592,2.3961227694515706e-20
GOBP_HEART_PROCESS,6.789886557571512e-22,6.58429093845583e-06,10,6,-0.218110467948194,1.3851368577445884e-19
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,2.5512600439632785e-21,8.53410804810421e-08,10,7,-0.1638463144916253,4.1636563917480706e-19
GOBP_CARDIAC_MUSCLE_CONTRACTION,4.572594654723139e-21,1.49879106773366e-06,10,5,-0.22639366349976003,6.218728730423469e-19
GOBP_MUSCLE_CELL_DEVELOPMENT,1.5048245075734952e-20,6.13384060184802e-07,10,6,0.02285693752709501,1.7541954259713884e-18
GOBP_MUSCLE_SYSTEM_PROCESS,3.5049228499530656e-20,6.57922642997843e-08,10,4,0.10570423444290007,3.575021306952127e-18
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,5.742086618971663e-20,6.58429093845583e-06,10,6,-0.08595405085639367,5.206158534534308e-18
GOBP_STRIATED_MUSCLE_CONTRACTION,1.2604027657943851e-18,4.28887438279944e-07,10,3,-0.21939793994930196,1.0284886568882182e-16
GOCC_SUPRAMOLECULAR_POLYMER,3.4271134484358458e-18,1.69564681621952e-08,7,4,0.14804859182985758,2.542295067203318e-16
GOBP_CIRCULATORY_SYSTEM_PROCESS,9.457160154255939e-18,9.37268338680274e-05,10,3,-0.23928558656580398,6.430868904894038e-16
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,5.915523858747985e-17,3.67922081734387e-06,7,5,-0.12416904484099289,3.713128822106428e-15
GOBP_MUSCLE_ORGAN_DEVELOPMENT,1.038053356711396e-16,6.94130897973988e-05,10,3,-0.23135770633528888,6.050368136260708e-15
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,1.590572571279901e-14,5.78840429297358e-06,10,2,-0.0010257427282245768,8.652714787762661e-13
GOBP_MUSCLE_CELL_DIFFERENTIATION,2.1457584513587577e-14,6.87034042833219e-05,10,5,0.020542448549043836,1.0943368101929663e-12
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,6.700194316658238e-14,3.49437792750897e-06,10,5,-0.20229830110261945,3.2160932719959544e-12
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,2.6975626763913026e-10,6.41604745836299e-05,10,2,0.09818281865616776,1.2228950799640571e-08
GOBP_REGULATION_OF_HEART_CONTRACTION,4.4324279037522425e-10,3.84217396438786e-05,10,3,0.03462640356912192,1.9036111418220157e-08
GOBP_HEART_MORPHOGENESIS,6.598094560982408e-10,0.0002007151303934,10,1,0.04322617484044398,2.6920225808808227e-08
GOBP_REGULATION_OF_SYSTEM_PROCESS,1.3622283671354476e-09,0.0002007151303934,10,3,0.27037910930229697,5.2673762989805455e-08
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.4201259629604413e-09,1.03523704839696e-05,10,2,0.24469953050058696,5.2673762989805455e-08
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,1.7978093453900062e-08,0.0022546761773436,10,0,0.28537191799388006,6.378314894948891e-07
GOBP_REGULATION_OF_BLOOD_CIRCULATION,2.3290772223539645e-08,0.0003495111326706,10,3,0.04935119750341055,7.918862556003479e-07
GOCC_ACTIN_CYTOSKELETON,3.87334541359839e-08,5.92505228613044e-05,7,2,-0.16549685542050113,1.2642599429985145e-06
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,1.7441977372986147e-07,7.74426606781489e-06,7,1,-0.05387695694518291,5.474097513983345e-06
GOMF_ACTIN_BINDING,2.094797008565801e-07,6.09304255519153e-05,9,2,-0.2785356015240415,6.330942070332199e-06
GOCC_ACTIN_FILAMENT,4.190231728962586e-07,0.0033475625771571,10,0,-0.044620762906106934,1.2211532467262392e-05
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,6.057475788796903e-07,0.0048994649000841,10,0,0.29510485466593,1.704448359882163e-05
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,3.510481702183247e-06,4.06629260037268e-07,8,2,-0.23899224263529928,9.548510229938432e-05
GOBP_HEART_DEVELOPMENT,1.3363911999078442e-05,9.90636531103519e-06,10,1,0.057016231069707844,0.000351772651330581
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,1.4610924693644013e-05,0.0024815618304097,10,0,0.286405965455642,0.0003725785796879223
GOCC_CYTOSOLIC_RIBOSOME,1.74833269984396e-05,0.0003147240593368,10,0,-0.12032507451732535,0.00043231499487050645
GOMF_CALCIUM_ION_BINDING,1.9489803261989926e-05,0.0002178004796721,10,1,-0.40557611242830466,0.0004677552782877582
GOBP_PROTEIN_TARGETING,5.1698019130403484e-05,8.54927885027725e-05,10,2,-0.1609610245146135,0.0012053023888688355
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,5.581837008961409e-05,1.6141744907098e-05,9,1,-0.1479116104123588,0.0012652163886979193
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION,0.00019930517165898723,0.0018593971054589,10,0,-0.119281331680437,0.0043954870290198265
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.00024270014262995273,0.0001929776834525,10,1,-0.0625168250309931,0.005211666220685301
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.0002532455800267132,0.0005753820493378,10,1,0.054546871107998295,0.005298676751328154
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,0.0003554221469778907,0.0001101454845738,10,1,-0.07140933733622692,0.00725061179834897
GOCC_SUPRAMOLECULAR_COMPLEX,0.00037850454981329753,1.56027694044075e-07,8,2,-0.27607753778322025,0.0075331637231134336
GOMF_CYTOSKELETAL_PROTEIN_BINDING,0.0008881385166146406,0.0005204019985334,7,1,-0.4290390364815614,0.017255262608513018
GOCC_RIBONUCLEOPROTEIN_COMPLEX,0.0009851151285150354,0.0054693465564336,10,0,-0.03912207378138727,0.018694277787634158
GOCC_LARGE_RIBOSOMAL_SUBUNIT,0.001087287787048253,5.17141605732191e-07,10,1,-0.1445426051274889,0.020164246232531234
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,0.0011836345414983466,5.13156295541595e-06,10,1,-0.0002996145752156454,0.021463239685836685
GOCC_RIBOSOMAL_SUBUNIT,0.0012409404844598909,1.99040881239509e-05,10,2,-0.03146420403437463,0.022013205115636324
GOCC_CHROMATIN,0.0012857376735871658,0.019174223907925,10,0,-0.008084297030975018,0.022150931365377442
GOBP_TISSUE_MORPHOGENESIS,0.0013029959626692613,0.0002053352234661,10,1,0.027250324589134935,0.022150931365377442
GOMF_ACTIN_FILAMENT_BINDING,0.0014381623279127085,0.0076585773723896,10,0,-0.32801020531611524,0.023949805297485104
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.0017191103533611444,0.0055576902296306,10,0,-0.031191942946707508,0.028055880966853877
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.0018391124957536128,0.0002034450565829,10,1,-0.022892690763498202,0.029425799932057805
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX,0.0020895308765275975,0.0012962961071601,10,0,0.03874822181322131,0.032789561447048456
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,0.002244785869464047,6.39605405585259e-05,10,2,0.0060054980596538025,0.03456123149967288
GOCC_ACTIN_FILAMENT_BUNDLE,0.0035530877211425904,0.0217107268762401,10,0,-0.13416682649937167,0.053691103341710254
GOCC_CATALYTIC_COMPLEX,0.003720432622320982,0.0030893468360603,10,0,-0.1723536919410443,0.055197691269344026
GOCC_PIGMENT_GRANULE,0.0038215087276683808,0.000527550501728,10,1,-0.042131337781536035,0.055684841460310684
GOCC_ACTOMYOSIN,0.004084990941900687,0.0185494574916499,10,0,-0.15080258121787687,0.0584798703261572
GOBP_MRNA_PROCESSING,0.004328841765247047,0.0005160537840848,10,1,0.0422946945025988,0.06090232552485501
GOBP_RESPONSE_TO_LIGHT_STIMULUS,0.004601717417637276,0.0251921537106159,10,0,-0.26676497359483414,0.06313100529818695
GOCC_SPLICEOSOMAL_COMPLEX,0.004641985683690217,0.0102656519721467,10,0,0.05172746078792347,0.06313100529818695
GOMF_KINASE_ACTIVATOR_ACTIVITY,0.005344680449731409,0.0004548024280141,10,0,-0.14086014471399397,0.07149605322919393
GOBP_MITOCHONDRION_ORGANIZATION,0.005977050514283288,0.0117242501077012,10,0,-0.12533044511999167,0.07866569709121231
GOBP_RNA_SPLICING,0.006262951102334484,0.0050957936120926,10,0,0.03468293241371081,0.08112012856357045
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS,0.006478900698099524,0.0008833760874625,10,0,-0.1168870778831991,0.08260598390076893
GOBP_NEGATIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.007553063846913772,0.0226796161644555,10,0,-0.15226741262080934,0.0948200015243329
GOBP_RESPONSE_TO_METAL_ION,0.008026310566301355,0.0171658548674283,10,0,-0.02608400868528731,0.0992343851833622
