"Gene","GeneName","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","TSPAN6",821.741334225712,0.0291417579782684,0.075269533156925,0.246196671017296,0.779971468062251
"ENSG00000001036","FUCA2",587.635619445526,0.0260091178562551,0.0734386260302139,0.304280062729371,0.820043134542955
"ENSG00000001497","LAS1L",521.297970973081,0.0296675852187942,0.0761309155324092,0.194740958743021,0.758476682685145
"ENSG00000002330","BAD",222.560069684887,-0.017524643518747,0.0722916636996895,0.369939279261137,0.86112143179837
"ENSG00000002549","LAP3",354.607776515087,0.000438414133234498,0.0696654176362317,0.9838322495295,0.998146322840995
"ENSG00000003056","M6PR",151.679108553831,0.0177395885273674,0.0732825536305708,0.299305236966679,0.819141543255899
"ENSG00000004059","ARF5",1000.93541528254,-0.0140927203440354,0.0690210631472105,0.572440847203626,0.913367314159058
"ENSG00000004142","POLDIP2",546.832763790827,0.0148091383879687,0.0704343951924519,0.523148700310404,0.903338542253757
"ENSG00000004455","AK2",1077.71441911136,0.0405410743129829,0.0810331362765954,0.155523431301326,0.730933722814467
"ENSG00000004478","FKBP4",738.226631628097,-0.0573900512837357,0.0969221395555547,0.0626741534893339,0.584408992624227
"ENSG00000004779","NDUFAB1",422.121983066925,0.0269396804092238,0.0760291435653154,0.204684152722757,0.767014653715869
"ENSG00000004961","HCCS",155.842343633339,0.0158620684985083,0.0724247787082169,0.373768401016255,0.866240865436655
"ENSG00000005022","SLC25A5",864.128698462971,0.0218059721978726,0.0722886478987717,0.361195369333851,0.85960096971975
"ENSG00000005075","POLR2J",514.750410466535,0.0244985155663755,0.0744356393138966,0.261759867244167,0.789276046939942
"ENSG00000005175","RPAP3",204.501986965115,0.0172438271352056,0.0730940835312994,0.324336773868908,0.836221495253261
"ENSG00000005194","CIAPIN1",1007.2156822571,0.0442893473060708,0.0874360280691705,0.0723775324677728,0.618897736927528
"ENSG00000005448","WDR54",188.428136296292,0.0263819101363317,0.0763319067746137,0.179762566177728,0.745732427861543
"ENSG00000005483","KMT2E",201.414530081299,0.0101805015917413,0.0707419115302622,0.583614242648991,0.913367314159058
"ENSG00000005486","RHBDD2",144.869849369829,0.0215665112352339,0.074588287300916,0.248407089924514,0.78113410635695
"ENSG00000005810","MYCBP2",149.200865544934,0.000349275237465412,0.0708651192127973,0.982355985064332,0.998146322840995
"ENSG00000005893","LAMP2",290.662823236719,0.0113255610851113,0.0715674403638865,0.493564083544914,0.898905821341656
"ENSG00000006007","GDE1",185.416384701812,-0.0144792733269378,0.0716335206264748,0.445811519870697,0.8794954248215
"ENSG00000006042","TMEM98",229.031706837429,0.0145523113324466,0.0718222755863266,0.556597469746866,0.910062463830284
"ENSG00000006125","AP2B1",319.551497035018,-0.000426979863991388,0.0694840238806356,0.972495926855835,0.998146322840995
"ENSG00000006451","RALA",162.109837829244,0.0120755166427002,0.0713847319961825,0.495295926907753,0.898905821341656
"ENSG00000006530","AGK",171.668134878196,0.0160090908497277,0.0722336391772574,0.386081751348684,0.866335075397687
"ENSG00000006625","GGCT",271.639824560141,0.0129563303291698,0.0712887669366686,0.490992821095843,0.898905821341656
"ENSG00000006695","COX10",157.82921079719,-0.0102246686899358,0.0713020136819861,0.534337952020809,0.907044762687063
"ENSG00000006712","PAF1",158.165509697982,0.00887717889147583,0.0708037230801839,0.611940437174271,0.919383384822928
"ENSG00000006744","ELAC2",398.307960887037,0.0245593014783163,0.0738395932982127,0.286135753490919,0.807706006390253
"ENSG00000007080","CCDC124",1507.20038659804,-0.00286041022917203,0.0693403269205421,0.868506324167104,0.976837875595896
"ENSG00000007168","PAFAH1B1",436.6591307475,0.00283610816261575,0.0685271667163991,0.897730169872624,0.980866819417422
"ENSG00000007202","KIAA0100",186.414883741539,-0.0310497302989584,0.078979871278582,0.125429699850796,0.703932625497851
"ENSG00000007376","RPUSD1",743.662466174495,-0.0282833675961487,0.075707874968674,0.230852596983796,0.777096738550812
"ENSG00000007392","LUC7L",184.426103926318,0.0273107769249638,0.0771122377198274,0.150618231846755,0.726951722994026
"ENSG00000007541","PIGQ",277.08970809919,0.0199426057349352,0.0729061490931095,0.335769023902251,0.849141488679046
"ENSG00000007923","DNAJC11",197.838712456363,0.00605904747694044,0.0701705758448893,0.740594894953928,0.95541310923577
"ENSG00000008018","PSMB1",1403.75230566598,0.0838466853184909,0.137467917879422,0.0266292642539169,0.472997569135607
"ENSG00000008294","SPAG9",178.537240692335,0.0255777184962331,0.0765047113435783,0.153275649056009,0.729065565551517
"ENSG00000008324","SS18L2",202.375542817084,0.0183754610178048,0.072863414305177,0.340097988793887,0.852395468072417
"ENSG00000008838","MED24",149.838063398302,-0.00636600429883244,0.0706641817225367,0.697306618135984,0.948484591671847
"ENSG00000008869","HEATR5B",185.757872420582,-0.0101755804355043,0.0708609995406634,0.56999816142262,0.913367314159058
"ENSG00000008952","SEC62",228.650278435152,0.051363980062846,0.0982350371723945,0.0157036174084168,0.40504759618307
"ENSG00000008988","RPS20",463.869968532969,0.0064325110967871,0.0684837214387771,0.778644598154593,0.961695439006583
"ENSG00000009307","CSDE1",553.879436388817,-0.0038376594843835,0.0718842650462174,0.6629061501391,0.935338908814286
"ENSG00000009844","VTA1",1612.78873269007,0.0196236196100464,0.071365364829347,0.410323072893662,0.869624485892726
"ENSG00000009954","BAZ1B",329.808440797691,-0.0280078490570885,0.0757531723078925,0.224372991896323,0.777096738550812
"ENSG00000010165","METTL13",252.715616007291,0.0137972245691398,0.0717036214336034,0.449011904559165,0.8794954248215
"ENSG00000010244","ZNF207",642.205481474371,0.0356752584146903,0.0790423260880442,0.172167140308713,0.740904645813737
"ENSG00000010256","UQCRC1",2485.1296318698,-0.00320177134644315,0.0669453481722025,0.897689451323126,0.980866819417422
"ENSG00000010270","STARD3NL",273.075111032835,0.0178870009065997,0.0721783506648348,0.382871610305231,0.866335075397687
"ENSG00000010292","NCAPD2",140.620601521346,-0.0134047555290479,0.072199673805234,0.398255277375208,0.866335075397687
"ENSG00000010361","FUZ",257.79022792431,0.00255798131951385,0.0694802101090213,0.898671134298405,0.980866819417422
"ENSG00000011007","ELOA",212.838909434406,-0.000721352663805918,0.0695817219106715,0.967772608330098,0.997810167463525
"ENSG00000011009","LYPLA2",298.592993156343,0.0422657516327139,0.0875313240982894,0.0491691542841701,0.553251471977554
"ENSG00000011052","NME1-NME2",971.151253096161,-0.0116478491315805,0.0678663270265293,0.652210646200586,0.932475235755982
"ENSG00000011260","UTP18",589.147563074359,0.0240140966127283,0.0732650809953067,0.323904137451788,0.836221495253261
"ENSG00000011275","RNF216",147.314695635393,-0.002116401363118,0.0700860973124883,0.900694817155267,0.981480141435518
"ENSG00000011304","PTBP1",689.421502082934,-0.0399165637991481,0.0811620625357443,0.150701736188662,0.726951722994026
"ENSG00000011451","WIZ",184.865776927479,-0.00666198687341257,0.0709637455452579,0.663154993047695,0.935338908814286
"ENSG00000011485","PPP5C",515.009806923063,0.0143907523719582,0.0710364516632526,0.475006005971057,0.895797843312655
"ENSG00000012048","BRCA1",182.914426584037,-0.0186268650738843,0.0729963075184933,0.325416882918919,0.836221495253261
"ENSG00000012061","ERCC1",359.436596763856,-0.0107491244933669,0.0705048773952687,0.577989348409916,0.913367314159058
"ENSG00000012174","MBTPS2",162.691951425074,0.0223100599544942,0.0758286242042101,0.133540411655923,0.70695086668873
"ENSG00000012660","ELOVL5",259.032113940644,-0.000400120330153131,0.0696922060026764,0.980398683829332,0.998146322840995
"ENSG00000013275","PSMC4",137.318210393026,0.0199938043897796,0.0742198190990372,0.237218281461378,0.777096738550812
"ENSG00000013306","SLC25A39",932.830206252477,0.0193832328598017,0.0714904760124196,0.412705408341855,0.869872800530188
"ENSG00000013374","NUB1",441.854989278921,0.0170262729992178,0.0710878338078132,0.447933701320568,0.8794954248215
"ENSG00000013375","PGM3",244.477997026172,0.0174232018878592,0.0728319893987493,0.340289464898911,0.852395468072417
"ENSG00000013573","DDX11",143.603472374545,-0.0287679349992096,0.07805657161035,0.126372504531929,0.703932625497851
"ENSG00000014641","MDH1",715.637827058279,-0.0109831877231864,0.0731153461630545,0.162580132888791,0.733704106471903
"ENSG00000014824","SLC30A9",177.789792065958,0.0062956849042783,0.0704306015772407,0.718326548382696,0.951716567029464
"ENSG00000015475","BID",152.953170784772,0.004547310518614,0.0705993722572437,0.768828056655014,0.959186681944029
"ENSG00000015479","MATR3",406.255309006874,-0.00401198781101033,0.0719063052573295,0.643607575024383,0.929979409493773
"ENSG00000020129","NCDN",153.83594836102,-0.039219449867894,0.0860951348337866,0.0366843996294121,0.521578463621543
"ENSG00000022267","FHL1",191.812734768298,-0.0231298365443328,0.0756977776478497,0.16675044042075,0.734561170671809
